emoji,name,group,sub_group,codepoints
👨‍🎤,man singer,People & Body,person-role,1F468 200D 1F3A4
👨🏻‍🎤,man singer: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F3A4
👨🏼‍🎤,man singer: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F3A4
👨🏽‍🎤,man singer: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F3A4
👨🏾‍🎤,man singer: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F3A4
👨🏿‍🎤,man singer: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F3A4
👩‍🎤,woman singer,People & Body,person-role,1F469 200D 1F3A4
👩🏻‍🎤,woman singer: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F3A4
👩🏼‍🎤,woman singer: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F3A4
👩🏽‍🎤,woman singer: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F3A4
👩🏾‍🎤,woman singer: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F3A4
👩🏿‍🎤,woman singer: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F3A4
🧑‍🎨,artist,People & Body,person-role,1F9D1 200D 1F3A8
🧑🏻‍🎨,artist: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 1F3A8
🧑🏼‍🎨,artist: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 1F3A8
🧑🏽‍🎨,artist: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 1F3A8
🧑🏾‍🎨,artist: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 1F3A8
🧑🏿‍🎨,artist: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 1F3A8
👨‍🎨,man artist,People & Body,person-role,1F468 200D 1F3A8
👨🏻‍🎨,man artist: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F3A8
👨🏼‍🎨,man artist: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F3A8
👨🏽‍🎨,man artist: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F3A8
👨🏾‍🎨,man artist: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F3A8
👨🏿‍🎨,man artist: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F3A8
👩‍🎨,woman artist,People & Body,person-role,1F469 200D 1F3A8
👩🏻‍🎨,woman artist: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F3A8
👩🏼‍🎨,woman artist: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F3A8
👩🏽‍🎨,woman artist: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F3A8
👩🏾‍🎨,woman artist: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F3A8
👩🏿‍🎨,woman artist: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F3A8
🧑‍✈️,pilot,People & Body,person-role,1F9D1 200D 2708 FE0F
🧑‍✈,pilot,People & Body,person-role,1F9D1 200D 2708
🧑🏻‍✈️,pilot: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 2708 FE0F
🧑🏻‍✈,pilot: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 2708
🧑🏼‍✈️,pilot: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 2708 FE0F
🧑🏼‍✈,pilot: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 2708
🧑🏽‍✈️,pilot: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 2708 FE0F
🧑🏽‍✈,pilot: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 2708
🧑🏾‍✈️,pilot: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 2708 FE0F
🧑🏾‍✈,pilot: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 2708
🧑🏿‍✈️,pilot: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 2708 FE0F
🧑🏿‍✈,pilot: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 2708
👨‍✈️,man pilot,People & Body,person-role,1F468 200D 2708 FE0F
👨‍✈,man pilot,People & Body,person-role,1F468 200D 2708
👨🏻‍✈️,man pilot: light skin tone,People & Body,person-role,1F468 1F3FB 200D 2708 FE0F
👨🏻‍✈,man pilot: light skin tone,People & Body,person-role,1F468 1F3FB 200D 2708
👨🏼‍✈️,man pilot: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 2708 FE0F
👨🏼‍✈,man pilot: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 2708
👨🏽‍✈️,man pilot: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 2708 FE0F
👨🏽‍✈,man pilot: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 2708
👨🏾‍✈️,man pilot: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 2708 FE0F
👨🏾‍✈,man pilot: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 2708
👨🏿‍✈️,man pilot: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 2708 FE0F
👨🏿‍✈,man pilot: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 2708
👩‍✈️,woman pilot,People & Body,person-role,1F469 200D 2708 FE0F
👩‍✈,woman pilot,People & Body,person-role,1F469 200D 2708
👩🏻‍✈️,woman pilot: light skin tone,People & Body,person-role,1F469 1F3FB 200D 2708 FE0F
👩🏻‍✈,woman pilot: light skin tone,People & Body,person-role,1F469 1F3FB 200D 2708
👩🏼‍✈️,woman pilot: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 2708 FE0F
👩🏼‍✈,woman pilot: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 2708
👩🏽‍✈️,woman pilot: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 2708 FE0F
👩🏽‍✈,woman pilot: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 2708
👩🏾‍✈️,woman pilot: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 2708 FE0F
👩🏾‍✈,woman pilot: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 2708
👩🏿‍✈️,woman pilot: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 2708 FE0F
👩🏿‍✈,woman pilot: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 2708
🧑‍🚀,astronaut,People & Body,person-role,1F9D1 200D 1F680
🧑🏻‍🚀,astronaut: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 1F680
🧑🏼‍🚀,astronaut: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 1F680
🧑🏽‍🚀,astronaut: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 1F680
🧑🏾‍🚀,astronaut: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 1F680
🧑🏿‍🚀,astronaut: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 1F680
👨‍🚀,man astronaut,People & Body,person-role,1F468 200D 1F680
👨🏻‍🚀,man astronaut: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F680
👨🏼‍🚀,man astronaut: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F680
👨🏽‍🚀,man astronaut: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F680
👨🏾‍🚀,man astronaut: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F680
👨🏿‍🚀,man astronaut: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F680
👩‍🚀,woman astronaut,People & Body,person-role,1F469 200D 1F680
👩🏻‍🚀,woman astronaut: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F680
👩🏼‍🚀,woman astronaut: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F680
👩🏽‍🚀,woman astronaut: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F680
👩🏾‍🚀,woman astronaut: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F680
👩🏿‍🚀,woman astronaut: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F680
🧑‍🚒,firefighter,People & Body,person-role,1F9D1 200D 1F692
🧑🏻‍🚒,firefighter: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 1F692
🧑🏼‍🚒,firefighter: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 1F692
🧑🏽‍🚒,firefighter: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 1F692
🧑🏾‍🚒,firefighter: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 1F692
🧑🏿‍🚒,firefighter: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 1F692
👨‍🚒,man firefighter,People & Body,person-role,1F468 200D 1F692
👨🏻‍🚒,man firefighter: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F692
👨🏼‍🚒,man firefighter: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F692
👨🏽‍🚒,man firefighter: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F692
👨🏾‍🚒,man firefighter: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F692
👨🏿‍🚒,man firefighter: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F692
👩‍🚒,woman firefighter,People & Body,person-role,1F469 200D 1F692
👩🏻‍🚒,woman firefighter: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F692
👩🏼‍🚒,woman firefighter: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F692
👩🏽‍🚒,woman firefighter: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F692
👩🏾‍🚒,woman firefighter: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F692
👩🏿‍🚒,woman firefighter: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F692
👮,police officer,People & Body,person-role,1F46E
👮🏻,police officer: light skin tone,People & Body,person-role,1F46E 1F3FB
👮🏼,police officer: medium-light skin tone,People & Body,person-role,1F46E 1F3FC
👮🏽,police officer: medium skin tone,People & Body,person-role,1F46E 1F3FD
👮🏾,police officer: medium-dark skin tone,People & Body,person-role,1F46E 1F3FE
👮🏿,police officer: dark skin tone,People & Body,person-role,1F46E 1F3FF
👮‍♂️,man police officer,People & Body,person-role,1F46E 200D 2642 FE0F
👮‍♂,man police officer,People & Body,person-role,1F46E 200D 2642
👮🏻‍♂️,man police officer: light skin tone,People & Body,person-role,1F46E 1F3FB 200D 2642 FE0F
👮🏻‍♂,man police officer: light skin tone,People & Body,person-role,1F46E 1F3FB 200D 2642
👮🏼‍♂️,man police officer: medium-light skin tone,People & Body,person-role,1F46E 1F3FC 200D 2642 FE0F
👮🏼‍♂,man police officer: medium-light skin tone,People & Body,person-role,1F46E 1F3FC 200D 2642
👮🏽‍♂️,man police officer: medium skin tone,People & Body,person-role,1F46E 1F3FD 200D 2642 FE0F
👮🏽‍♂,man police officer: medium skin tone,People & Body,person-role,1F46E 1F3FD 200D 2642
👮🏾‍♂️,man police officer: medium-dark skin tone,People & Body,person-role,1F46E 1F3FE 200D 2642 FE0F
👮🏾‍♂,man police officer: medium-dark skin tone,People & Body,person-role,1F46E 1F3FE 200D 2642
👮🏿‍♂️,man police officer: dark skin tone,People & Body,person-role,1F46E 1F3FF 200D 2642 FE0F
👮🏿‍♂,man police officer: dark skin tone,People & Body,person-role,1F46E 1F3FF 200D 2642
👮‍♀️,woman police officer,People & Body,person-role,1F46E 200D 2640 FE0F
👮‍♀,woman police officer,People & Body,person-role,1F46E 200D 2640
👮🏻‍♀️,woman police officer: light skin tone,People & Body,person-role,1F46E 1F3FB 200D 2640 FE0F
👮🏻‍♀,woman police officer: light skin tone,People & Body,person-role,1F46E 1F3FB 200D 2640
👮🏼‍♀️,woman police officer: medium-light skin tone,People & Body,person-role,1F46E 1F3FC 200D 2640 FE0F
👮🏼‍♀,woman police officer: medium-light skin tone,People & Body,person-role,1F46E 1F3FC 200D 2640
👮🏽‍♀️,woman police officer: medium skin tone,People & Body,person-role,1F46E 1F3FD 200D 2640 FE0F
👮🏽‍♀,woman police officer: medium skin tone,People & Body,person-role,1F46E 1F3FD 200D 2640
👮🏾‍♀️,woman police officer: medium-dark skin tone,People & Body,person-role,1F46E 1F3FE 200D 2640 FE0F
👮🏾‍♀,woman police officer: medium-dark skin tone,People & Body,person-role,1F46E 1F3FE 200D 2640
👮🏿‍♀️,woman police officer: dark skin tone,People & Body,person-role,1F46E 1F3FF 200D 2640 FE0F
👮🏿‍♀,woman police officer: dark skin tone,People & Body,person-role,1F46E 1F3FF 200D 2640
🕵️,detective,People & Body,person-role,1F575 FE0F
🕵,detective,People & Body,person-role,1F575
🕵🏻,detective: light skin tone,People & Body,person-role,1F575 1F3FB
🕵🏼,detective: medium-light skin tone,People & Body,person-role,1F575 1F3FC
🕵🏽,detective: medium skin tone,People & Body,person-role,1F575 1F3FD
🕵🏾,detective: medium-dark skin tone,People & Body,person-role,1F575 1F3FE
🕵🏿,detective: dark skin tone,People & Body,person-role,1F575 1F3FF
🕵️‍♂️,man detective,People & Body,person-role,1F575 FE0F 200D 2642 FE0F
🕵‍♂️,man detective,People & Body,person-role,1F575 200D 2642 FE0F
🕵️‍♂,man detective,People & Body,person-role,1F575 FE0F 200D 2642
🕵‍♂,man detective,People & Body,person-role,1F575 200D 2642
🕵🏻‍♂️,man detective: light skin tone,People & Body,person-role,1F575 1F3FB 200D 2642 FE0F
🕵🏻‍♂,man detective: light skin tone,People & Body,person-role,1F575 1F3FB 200D 2642
🕵🏼‍♂️,man detective: medium-light skin tone,People & Body,person-role,1F575 1F3FC 200D 2642 FE0F
🕵🏼‍♂,man detective: medium-light skin tone,People & Body,person-role,1F575 1F3FC 200D 2642
🕵🏽‍♂️,man detective: medium skin tone,People & Body,person-role,1F575 1F3FD 200D 2642 FE0F
🕵🏽‍♂,man detective: medium skin tone,People & Body,person-role,1F575 1F3FD 200D 2642
🕵🏾‍♂️,man detective: medium-dark skin tone,People & Body,person-role,1F575 1F3FE 200D 2642 FE0F
🕵🏾‍♂,man detective: medium-dark skin tone,People & Body,person-role,1F575 1F3FE 200D 2642
🕵🏿‍♂️,man detective: dark skin tone,People & Body,person-role,1F575 1F3FF 200D 2642 FE0F
🕵🏿‍♂,man detective: dark skin tone,People & Body,person-role,1F575 1F3FF 200D 2642
🕵️‍♀️,woman detective,People & Body,person-role,1F575 FE0F 200D 2640 FE0F
🕵‍♀️,woman detective,People & Body,person-role,1F575 200D 2640 FE0F
🕵️‍♀,woman detective,People & Body,person-role,1F575 FE0F 200D 2640
🕵‍♀,woman detective,People & Body,person-role,1F575 200D 2640
🕵🏻‍♀️,woman detective: light skin tone,People & Body,person-role,1F575 1F3FB 200D 2640 FE0F
🕵🏻‍♀,woman detective: light skin tone,People & Body,person-role,1F575 1F3FB 200D 2640
🕵🏼‍♀️,woman detective: medium-light skin tone,People & Body,person-role,1F575 1F3FC 200D 2640 FE0F
🕵🏼‍♀,woman detective: medium-light skin tone,People & Body,person-role,1F575 1F3FC 200D 2640
🕵🏽‍♀️,woman detective: medium skin tone,People & Body,person-role,1F575 1F3FD 200D 2640 FE0F
🕵🏽‍♀,woman detective: medium skin tone,People & Body,person-role,1F575 1F3FD 200D 2640
🕵🏾‍♀️,woman detective: medium-dark skin tone,People & Body,person-role,1F575 1F3FE 200D 2640 FE0F
🕵🏾‍♀,woman detective: medium-dark skin tone,People & Body,person-role,1F575 1F3FE 200D 2640
🕵🏿‍♀️,woman detective: dark skin tone,People & Body,person-role,1F575 1F3FF 200D 2640 FE0F
🕵🏿‍♀,woman detective: dark skin tone,People & Body,person-role,1F575 1F3FF 200D 2640
💂,guard,People & Body,person-role,1F482
💂🏻,guard: light skin tone,People & Body,person-role,1F482 1F3FB
💂🏼,guard: medium-light skin tone,People & Body,person-role,1F482 1F3FC
💂🏽,guard: medium skin tone,People & Body,person-role,1F482 1F3FD
💂🏾,guard: medium-dark skin tone,People & Body,person-role,1F482 1F3FE
💂🏿,guard: dark skin tone,People & Body,person-role,1F482 1F3FF
💂‍♂️,man guard,People & Body,person-role,1F482 200D 2642 FE0F
💂‍♂,man guard,People & Body,person-role,1F482 200D 2642
💂🏻‍♂️,man guard: light skin tone,People & Body,person-role,1F482 1F3FB 200D 2642 FE0F
💂🏻‍♂,man guard: light skin tone,People & Body,person-role,1F482 1F3FB 200D 2642
💂🏼‍♂️,man guard: medium-light skin tone,People & Body,person-role,1F482 1F3FC 200D 2642 FE0F
💂🏼‍♂,man guard: medium-light skin tone,People & Body,person-role,1F482 1F3FC 200D 2642
💂🏽‍♂️,man guard: medium skin tone,People & Body,person-role,1F482 1F3FD 200D 2642 FE0F
💂🏽‍♂,man guard: medium skin tone,People & Body,person-role,1F482 1F3FD 200D 2642
💂🏾‍♂️,man guard: medium-dark skin tone,People & Body,person-role,1F482 1F3FE 200D 2642 FE0F
💂🏾‍♂,man guard: medium-dark skin tone,People & Body,person-role,1F482 1F3FE 200D 2642
💂🏿‍♂️,man guard: dark skin tone,People & Body,person-role,1F482 1F3FF 200D 2642 FE0F
💂🏿‍♂,man guard: dark skin tone,People & Body,person-role,1F482 1F3FF 200D 2642
💂‍♀️,woman guard,People & Body,person-role,1F482 200D 2640 FE0F
💂‍♀,woman guard,People & Body,person-role,1F482 200D 2640
💂🏻‍♀️,woman guard: light skin tone,People & Body,person-role,1F482 1F3FB 200D 2640 FE0F
💂🏻‍♀,woman guard: light skin tone,People & Body,person-role,1F482 1F3FB 200D 2640
💂🏼‍♀️,woman guard: medium-light skin tone,People & Body,person-role,1F482 1F3FC 200D 2640 FE0F
💂🏼‍♀,woman guard: medium-light skin tone,People & Body,person-role,1F482 1F3FC 200D 2640
💂🏽‍♀️,woman guard: medium skin tone,People & Body,person-role,1F482 1F3FD 200D 2640 FE0F
💂🏽‍♀,woman guard: medium skin tone,People & Body,person-role,1F482 1F3FD 200D 2640
💂🏾‍♀️,woman guard: medium-dark skin tone,People & Body,person-role,1F482 1F3FE 200D 2640 FE0F
💂🏾‍♀,woman guard: medium-dark skin tone,People & Body,person-role,1F482 1F3FE 200D 2640
💂🏿‍♀️,woman guard: dark skin tone,People & Body,person-role,1F482 1F3FF 200D 2640 FE0F
💂🏿‍♀,woman guard: dark skin tone,People & Body,person-role,1F482 1F3FF 200D 2640
🥷,ninja,People & Body,person-role,1F977
🥷🏻,ninja: light skin tone,People & Body,person-role,1F977 1F3FB
🥷🏼,ninja: medium-light skin tone,People & Body,person-role,1F977 1F3FC
🥷🏽,ninja: medium skin tone,People & Body,person-role,1F977 1F3FD
🥷🏾,ninja: medium-dark skin tone,People & Body,person-role,1F977 1F3FE
🥷🏿,ninja: dark skin tone,People & Body,person-role,1F977 1F3FF
👷,construction worker,People & Body,person-role,1F477
👷🏻,construction worker: light skin tone,People & Body,person-role,1F477 1F3FB
👷🏼,construction worker: medium-light skin tone,People & Body,person-role,1F477 1F3FC
👷🏽,construction worker: medium skin tone,People & Body,person-role,1F477 1F3FD
👷🏾,construction worker: medium-dark skin tone,People & Body,person-role,1F477 1F3FE
👷🏿,construction worker: dark skin tone,People & Body,person-role,1F477 1F3FF
👷‍♂️,man construction worker,People & Body,person-role,1F477 200D 2642 FE0F
👷‍♂,man construction worker,People & Body,person-role,1F477 200D 2642
👷🏻‍♂️,man construction worker: light skin tone,People & Body,person-role,1F477 1F3FB 200D 2642 FE0F
👷🏻‍♂,man construction worker: light skin tone,People & Body,person-role,1F477 1F3FB 200D 2642
👷🏼‍♂️,man construction worker: medium-light skin tone,People & Body,person-role,1F477 1F3FC 200D 2642 FE0F
👷🏼‍♂,man construction worker: medium-light skin tone,People & Body,person-role,1F477 1F3FC 200D 2642
👷🏽‍♂️,man construction worker: medium skin tone,People & Body,person-role,1F477 1F3FD 200D 2642 FE0F
👷🏽‍♂,man construction worker: medium skin tone,People & Body,person-role,1F477 1F3FD 200D 2642
👷🏾‍♂️,man construction worker: medium-dark skin tone,People & Body,person-role,1F477 1F3FE 200D 2642 FE0F
👷🏾‍♂,man construction worker: medium-dark skin tone,People & Body,person-role,1F477 1F3FE 200D 2642
👷🏿‍♂️,man construction worker: dark skin tone,People & Body,person-role,1F477 1F3FF 200D 2642 FE0F
👷🏿‍♂,man construction worker: dark skin tone,People & Body,person-role,1F477 1F3FF 200D 2642
👷‍♀️,woman construction worker,People & Body,person-role,1F477 200D 2640 FE0F
👷‍♀,woman construction worker,People & Body,person-role,1F477 200D 2640
👷🏻‍♀️,woman construction worker: light skin tone,People & Body,person-role,1F477 1F3FB 200D 2640 FE0F
👷🏻‍♀,woman construction worker: light skin tone,People & Body,person-role,1F477 1F3FB 200D 2640
👷🏼‍♀️,woman construction worker: medium-light skin tone,People & Body,person-role,1F477 1F3FC 200D 2640 FE0F
👷🏼‍♀,woman construction worker: medium-light skin tone,People & Body,person-role,1F477 1F3FC 200D 2640
👷🏽‍♀️,woman construction worker: medium skin tone,People & Body,person-role,1F477 1F3FD 200D 2640 FE0F
👷🏽‍♀,woman construction worker: medium skin tone,People & Body,person-role,1F477 1F3FD 200D 2640
👷🏾‍♀️,woman construction worker: medium-dark skin tone,People & Body,person-role,1F477 1F3FE 200D 2640 FE0F
👷🏾‍♀,woman construction worker: medium-dark skin tone,People & Body,person-role,1F477 1F3FE 200D 2640
👷🏿‍♀️,woman construction worker: dark skin tone,People & Body,person-role,1F477 1F3FF 200D 2640 FE0F
👷🏿‍♀,woman construction worker: dark skin tone,People & Body,person-role,1F477 1F3FF 200D 2640
🤴,prince,People & Body,person-role,1F934
🤴🏻,prince: light skin tone,People & Body,person-role,1F934 1F3FB
🤴🏼,prince: medium-light skin tone,People & Body,person-role,1F934 1F3FC
🤴🏽,prince: medium skin tone,People & Body,person-role,1F934 1F3FD
🤴🏾,prince: medium-dark skin tone,People & Body,person-role,1F934 1F3FE
🤴🏿,prince: dark skin tone,People & Body,person-role,1F934 1F3FF
👸,princess,People & Body,person-role,1F478
👸🏻,princess: light skin tone,People & Body,person-role,1F478 1F3FB
👸🏼,princess: medium-light skin tone,People & Body,person-role,1F478 1F3FC
👸🏽,princess: medium skin tone,People & Body,person-role,1F478 1F3FD
👸🏾,princess: medium-dark skin tone,People & Body,person-role,1F478 1F3FE
👸🏿,princess: dark skin tone,People & Body,person-role,1F478 1F3FF
👳,person wearing turban,People & Body,person-role,1F473
👳🏻,person wearing turban: light skin tone,People & Body,person-role,1F473 1F3FB
👳🏼,person wearing turban: medium-light skin tone,People & Body,person-role,1F473 1F3FC
👳🏽,person wearing turban: medium skin tone,People & Body,person-role,1F473 1F3FD
👳🏾,person wearing turban: medium-dark skin tone,People & Body,person-role,1F473 1F3FE
👳🏿,person wearing turban: dark skin tone,People & Body,person-role,1F473 1F3FF
👳‍♂️,man wearing turban,People & Body,person-role,1F473 200D 2642 FE0F
👳‍♂,man wearing turban,People & Body,person-role,1F473 200D 2642
👳🏻‍♂️,man wearing turban: light skin tone,People & Body,person-role,1F473 1F3FB 200D 2642 FE0F
👳🏻‍♂,man wearing turban: light skin tone,People & Body,person-role,1F473 1F3FB 200D 2642
👳🏼‍♂️,man wearing turban: medium-light skin tone,People & Body,person-role,1F473 1F3FC 200D 2642 FE0F
👳🏼‍♂,man wearing turban: medium-light skin tone,People & Body,person-role,1F473 1F3FC 200D 2642
👳🏽‍♂️,man wearing turban: medium skin tone,People & Body,person-role,1F473 1F3FD 200D 2642 FE0F
👳🏽‍♂,man wearing turban: medium skin tone,People & Body,person-role,1F473 1F3FD 200D 2642
👳🏾‍♂️,man wearing turban: medium-dark skin tone,People & Body,person-role,1F473 1F3FE 200D 2642 FE0F
👳🏾‍♂,man wearing turban: medium-dark skin tone,People & Body,person-role,1F473 1F3FE 200D 2642
👳🏿‍♂️,man wearing turban: dark skin tone,People & Body,person-role,1F473 1F3FF 200D 2642 FE0F
👳🏿‍♂,man wearing turban: dark skin tone,People & Body,person-role,1F473 1F3FF 200D 2642
👳‍♀️,woman wearing turban,People & Body,person-role,1F473 200D 2640 FE0F
👳‍♀,woman wearing turban,People & Body,person-role,1F473 200D 2640
👳🏻‍♀️,woman wearing turban: light skin tone,People & Body,person-role,1F473 1F3FB 200D 2640 FE0F
👳🏻‍♀,woman wearing turban: light skin tone,People & Body,person-role,1F473 1F3FB 200D 2640
👳🏼‍♀️,woman wearing turban: medium-light skin tone,People & Body,person-role,1F473 1F3FC 200D 2640 FE0F
👳🏼‍♀,woman wearing turban: medium-light skin tone,People & Body,person-role,1F473 1F3FC 200D 2640
👳🏽‍♀️,woman wearing turban: medium skin tone,People & Body,person-role,1F473 1F3FD 200D 2640 FE0F
👳🏽‍♀,woman wearing turban: medium skin tone,People & Body,person-role,1F473 1F3FD 200D 2640
👳🏾‍♀️,woman wearing turban: medium-dark skin tone,People & Body,person-role,1F473 1F3FE 200D 2640 FE0F
👳🏾‍♀,woman wearing turban: medium-dark skin tone,People & Body,person-role,1F473 1F3FE 200D 2640
👳🏿‍♀️,woman wearing turban: dark skin tone,People & Body,person-role,1F473 1F3FF 200D 2640 FE0F
👳🏿‍♀,woman wearing turban: dark skin tone,People & Body,person-role,1F473 1F3FF 200D 2640
👲,person with skullcap,People & Body,person-role,1F472
👲🏻,person with skullcap: light skin tone,People & Body,person-role,1F472 1F3FB
👲🏼,person with skullcap: medium-light skin tone,People & Body,person-role,1F472 1F3FC
👲🏽,person with skullcap: medium skin tone,People & Body,person-role,1F472 1F3FD
👲🏾,person with skullcap: medium-dark skin tone,People & Body,person-role,1F472 1F3FE
👲🏿,person with skullcap: dark skin tone,People & Body,person-role,1F472 1F3FF
🧕,woman with headscarf,People & Body,person-role,1F9D5
🧕🏻,woman with headscarf: light skin tone,People & Body,person-role,1F9D5 1F3FB
🧕🏼,woman with headscarf: medium-light skin tone,People & Body,person-role,1F9D5 1F3FC
🧕🏽,woman with headscarf: medium skin tone,People & Body,person-role,1F9D5 1F3FD
🧕🏾,woman with headscarf: medium-dark skin tone,People & Body,person-role,1F9D5 1F3FE
🧕🏿,woman with headscarf: dark skin tone,People & Body,person-role,1F9D5 1F3FF
🤵,person in tuxedo,People & Body,person-role,1F935
🤵🏻,person in tuxedo: light skin tone,People & Body,person-role,1F935 1F3FB
🤵🏼,person in tuxedo: medium-light skin tone,People & Body,person-role,1F935 1F3FC
🤵🏽,person in tuxedo: medium skin tone,People & Body,person-role,1F935 1F3FD
🤵🏾,person in tuxedo: medium-dark skin tone,People & Body,person-role,1F935 1F3FE
🤵🏿,person in tuxedo: dark skin tone,People & Body,person-role,1F935 1F3FF
🤵‍♂️,man in tuxedo,People & Body,person-role,1F935 200D 2642 FE0F
🤵‍♂,man in tuxedo,People & Body,person-role,1F935 200D 2642
🤵🏻‍♂️,man in tuxedo: light skin tone,People & Body,person-role,1F935 1F3FB 200D 2642 FE0F
🤵🏻‍♂,man in tuxedo: light skin tone,People & Body,person-role,1F935 1F3FB 200D 2642
🤵🏼‍♂️,man in tuxedo: medium-light skin tone,People & Body,person-role,1F935 1F3FC 200D 2642 FE0F
🤵🏼‍♂,man in tuxedo: medium-light skin tone,People & Body,person-role,1F935 1F3FC 200D 2642
🤵🏽‍♂️,man in tuxedo: medium skin tone,People & Body,person-role,1F935 1F3FD 200D 2642 FE0F
🤵🏽‍♂,man in tuxedo: medium skin tone,People & Body,person-role,1F935 1F3FD 200D 2642
🤵🏾‍♂️,man in tuxedo: medium-dark skin tone,People & Body,person-role,1F935 1F3FE 200D 2642 FE0F
🤵🏾‍♂,man in tuxedo: medium-dark skin tone,People & Body,person-role,1F935 1F3FE 200D 2642
