number,name,symbol,name_symbol,pronunciation,appearance,atomic_number,group_block,period,element_category,atomic_weight,electron_configuration,per_shell,color,phase,melting_point,boiling_point,density_at_stp,when_liquid_at_mp,when_liquid_at_bp,triple_point,critical_point,heat_of_fusion,heat_of_vaporization,molar_heat_capacity,p_(pa),oxidation_states,electronegativity,ionization_energies,covalent_radius,van_der_waals_radius,crystal_structure,speed_of_sound,thermal_conductivity,magnetic_ordering,cas_number,discovery,named_by,iso,at_t_(k),naming,first_isolation,density_near_rt,atomic_radius,speed_of_sound_thin_rod,thermal_expansion,electrical_resistivity,youngs_modulus,shear_modulus,bulk_modulus,mohs_hardness,brinell_hardness,poisson_ratio,vickers_hardness,allotropes,density_when_liquid_at_mp,sublimation_point,recognized_as_an_element_by,heat_of_vaporisation,ionisation_energies,prediction,discovery_and_first_isolation,alternative_name,band_gap,recognised_as_an_element_by,curie_point,recognized_as_a_unique_metal_by,recognized_as_a_distinct_element_by,thermal_diffusivity,tensile_strength,molar_volume,proposed_formal_name,alternative_names
23,Vanadium,V,"vanadium, V","/v??ne?di?m/, v?-NAY-dee-?m",blue-silver-grey metal,23,"group 5, d-block",4,transition metal,50.94151,[Ar] 3d3 4s2,2,,solid,2183,3680,,5.5,,,,21.5,444,24.89,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2101, 2289, 2523, 2814, 3187, 3679",5,Pauling scale: 1.63,"1st: 650.9 kJ/mol, 2nd: 1414 kJ/mol, 3rd: 2830 kJ/mol, (more)",153±8 pm,,body-centered cubic (bcc),,30.7,paramagnetic,7440-62-2,Andrés Manuel del Río (1801),Nils Gabriel Sefström (1830),"iso, NA, half-life, DM, DE (MeV), DP, 48V, syn, 15.9735 d, ?+, 4.0123, 48Ti, 49V, syn, 330 d, ?, 0.6019, 49Ti, 50V, 0.25%, 1.5×1017 y, ?, 2.2083, 50Ti, ??, 1.0369, 50Cr, 51V, 99.75%, 51V is stable with 28 neutrons",2101,,Nils Gabriel Sefström (1830),6,empirical: 134 pm,4560,8.4,197,128,47,160,6.7,600–742 MPa,0.37,628–640 MPa,,,,,,,,,,,,,,,,,,,
24,Chromium,Cr,"chromium, Cr","/?kro?mi?m/, KROH-mee-?m",silvery metallic,24,"group 6, d-block",4,transition metal,51.99616,[Ar] 3d5 4s1,2,,solid,2180,2944,,6.3,,,,21,347,23.35,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1656, 1807, 1991, 2223, 2530, 2942",6,Pauling scale: 1.66,"1st: 652.9 kJ/mol, 2nd: 1590.6 kJ/mol, 3rd: 2987 kJ/mol, (more)",139±5 pm,,body-centered cubic (bcc),,93.9,antiferromagnetic (rather: SDW),7440-47-3,,,"iso, NA, half-life, DM, DE (MeV), DP, 50Cr, 4.345%, 50Cr is stable with 26 neutrons, 51Cr, syn, 27.7025 d, ?, –, 51V, ?, 0.320, –, 52Cr, 83.789%, 52Cr is stable with 28 neutrons, 53Cr, 9.501%, 53Cr is stable with 29 neutrons, 54Cr, 2.365%, 54Cr is stable with 30 neutrons",1656,,,7.19,empirical: 128 pm,5940,4.9,125,279,115,160,,687–6500 MPa,0.21,1060,,,,,,,,"Louis Nicolas Vauquelin (1797, 1798)",,,,,,,,,,,
25,Manganese,Mn,"manganese, Mn","/?mæ???ni?z/, MANG-g?-neez",silvery metallic,25,"group 7, d-block",4,transition metal,54.9380443,[Ar] 3d5 4s2,2,,solid,1519,2334,,5.95,,,,12.91,221,26.32,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1228, 1347, 1493, 1691, 1955, 2333",7,Pauling scale: 1.55,"1st: 717.3 kJ/mol, 2nd: 1509.0 kJ/mol, 3rd: 3248 kJ/mol, (more)","Low spin: 139±5 pm, High spin: 161±8 pm",,body-centered cubic (bcc),,7.81,paramagnetic,7439-96-5,Torbern Olof Bergman (1770),,"iso
NA
half-life
DM
DE (MeV)
DP


52Mn
syn
5.591 d
?
–
52Cr


?+
0.575
52Cr


?
0.7, 0.9, 1.4
–


53Mn
trace
3.74×106 y
?
–
53Cr


54Mn
syn
312.3 d
?
1.377
54Cr


?
0.834
–


55Mn
100%
55Mn is stable with 30 neutrons",1228,,Johann Gottlieb Gahn (1774),7.21,empirical: 127 pm,5150,21.7,1.44,198,,120,6,196,,,,,,,,,,,,,,,,,,,,,
26,Iron,Fe,"iron, Fe","/?a?.?rn/, EYE-urn",lustrous metallic with a grayish tinge,26,"group 8, d-block",4,transition metal,55.8452,[Ar] 3d6 4s2,2,,solid,1811,3134,,6.98,,,,13.81,340,25.1,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1728, 1890, 2091, 2346, 2679, 3132","?4, ?2, ?1, +1, +2, +3, +4, +5, +6 (an amphoteric oxide)",Pauling scale: 1.83,"1st: 762.5 kJ/mol, 2nd: 1561.9 kJ/mol, 3rd: 2957 kJ/mol, (more)","Low spin: 132±3 pm, High spin: 152±6 pm",,"face-centered cubic (fcc), between 1185–1667 K",,80.4,ferromagnetic,7439-89-6,before 5000 BC,,"iso, NA, half-life, DM, DE (MeV), DP, 54Fe, 5.85%, 54Fe is stable with 28 neutrons, 55Fe, syn, 2.73 y, ?, 0.231, 55Mn, 56Fe, 91.75%, 56Fe is stable with 30 neutrons, 57Fe, 2.12%, 57Fe is stable with 31 neutrons, 58Fe, 0.28%, 58Fe is stable with 32 neutrons, 59Fe, syn, 44.503 d, ??, 1.565, 59Co, 60Fe, syn, 2.6×106 y, ??, 3.978, 60Co",1728,,,7.874,empirical: 126 pm,5120,11.8,96.1,211,82,170,4,200–1180 MPa,0.29,608,,,,,,,,,,,,1043,,,,,,,
27,Cobalt,Co,"cobalt, Co","/?ko?b?lt/, KOH-bahlt",hard lustrous bluish gray metal,27,"group 9, d-block",4,transition metal,58.9331944,[Ar] 3d7 4s2,2,metallic gray,solid,1768,3200,,8.86,,,,16.06,377,24.81,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1790, 1960, 2165, 2423, 2755, 3198","?3, ?1, +1, +2, +3, +4, +5 (an amphoteric oxide)",Pauling scale: 1.88,"1st: 760.4 kJ/mol, 2nd: 1648 kJ/mol, 3rd: 3232 kJ/mol, (more)","Low spin: 126±3 pm, High spin: 150±7 pm",,hexagonal close-packed (hcp),,100,ferromagnetic,7440-48-4,Georg Brandt (1732),,"iso
NA
half-life
DM
DE (MeV)
DP


56Co
syn
77.27 d
?
4.566
56Fe


57Co
syn
271.79 d
?
0.836
57Fe


58Co
syn
70.86 d
?
2.307
58Fe


59Co
100%
59Co is stable with 32 neutrons


60Co
syn
5.2714 y
??, ?
2.824
60Ni",1790,,,8.9,empirical: 125 pm,4720,13,62.4,209,75,180,5,470–3000 MPa,0.31,1043,,,,,,,,,,,,,,,,,,,
28,Nickel,Ni,"nickel, Ni","/?n?k?l/, NIK-?l","lustrous, metallic, and silver with a gold tinge",28,"group 10, d-block",4,transition metal,58.69344,"[Ar] 3d8 4s2 or, [Ar] 3d9 4s1",2,,solid,1728,3003,,7.81,,,,17.48,379,26.07,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1783, 1950, 2154, 2410, 2741, 3184",4,Pauling scale: 1.91,"1st: 737.1 kJ/mol, 2nd: 1753.0 kJ/mol, 3rd: 3395 kJ/mol, (more)",124±4 pm,163,face-centered cubic (fcc),,90.9,ferromagnetic,7440-02-0,,,"iso, NA, half-life, DM, DE (MeV), DP, 58Ni, 68.077%, 58Ni is stable with 30 neutrons, 59Ni, trace, 7.6×104 y, ?, 0.0506, 59Co, 60Ni, 26.223%, 60Ni is stable with 32 neutrons, 61Ni, 1.140%, 61Ni is stable with 33 neutrons, 62Ni, 3.635%, 62Ni is stable with 34 neutrons, 63Ni, syn, 100.1 y, ??, 0.0669, 63Cu, 64Ni, 0.926%, 64Ni is stable with 36 neutrons",1783,,,8.908,empirical: 124 pm,4900,13.4,69.3,200,76,180,4,667–1600 MPa,0.31,638,,,,,,,,Axel Fredrik Cronstedt (1751),,,,,,,,,,,
29,Copper,Cu,"copper, Cu","/?k?p?r/, KOP-?r",red-orange metallic luster,29,"group 11, d-block",4,transition metal,63.5463,[Ar] 3d10 4s1,2,,solid,1357.77,2835,,8.02,,,,13.26,300.4,24.44,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1509, 1661, 1850, 2089, 2404, 2834","?2, +1, +2, +3, +4 (a mildly basic oxide)",Pauling scale: 1.90,"1st: 745.5 kJ/mol, 2nd: 1957.9 kJ/mol, 3rd: 3555 kJ/mol, (more)",132±4 pm,140,face-centered cubic (fcc),,401,diamagnetic,7440-50-8,Middle East (9000 BCE),,"iso, NA, half-life, DM, DE (MeV), DP, 63Cu, 69.15%, 63Cu is stable with 34 neutrons, 64Cu, syn, 12.700 h, ?, –, 64Ni, ??, –, 64Zn, 65Cu, 30.85%, 65Cu is stable with 36 neutrons, 67Cu, syn, 61.83 h, ??, –, 67Zn",1509,"after Cyprus, principal mining place in Roman era (Cyprium)",,8.96,empirical: 128 pm,"(annealed), 3810 m/s (at r.t.)",16.5,16.78,110–128 GPa,48,140,3,235–878 MPa,0.34,343–369 MPa,,,,,,,,,,,,,,,,,,,
30,Zinc,Zn,"zinc, Zn","/?z??k/, ZINGK",silver-gray,30,"group 12, d-block",4,"transition metal, alternatively considered a post-transition metal",65.382,[Ar] 3d10 4s2,2,,solid,692.68,1180,,6.57,,,,7.32,115,25.47,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 610, 670, 750, 852, 990, 1179",-2,Pauling scale: 1.65,"1st: 906.4 kJ/mol, 2nd: 1733.3 kJ/mol, 3rd: 3833 kJ/mol, (more)",122±4 pm,139,hexagonal close-packed (hcp),,116,diamagnetic,7440-66-6,Indian metallurgists (before 1000 BCE),,"iso, NA, half-life, DM, DE (MeV), DP, 64Zn, 49.2%, 64Zn is stable with 34 neutrons, 65Zn, syn, 243.8 d, ?, 1.3519, 65Cu, ?, 1.1155, –, 66Zn, 27.7%, 66Zn is stable with 36 neutrons, 67Zn, 4.0%, 67Zn is stable with 37 neutrons, 68Zn, 18.5%, 68Zn is stable with 38 neutrons, 69Zn, syn, 56 min, ??, 0.906, 69Ga, 69mZn, syn, 13.76 h, ??, 0.906, 69Ga, 70Zn, 0.6%, 70Zn is stable with 40 neutrons, 71Zn, syn, 2.4 min, ??, 2.82, 71Ga, 71mZn, syn, 3.97 d, ??, 2.82, 71Ga, 72Zn, syn, 46.5 h, ??, 0.458, 72Ga",610,,Andreas Sigismund Marggraf (1746),7.14,empirical: 134 pm,3850,30.2,59,108,43,70,2.5,327–412 MPa,0.25,,,,,,,,,,,,,,Rasaratna Samuccaya (800),,,,,,
31,Gallium,Ga,"gallium, Ga","/??æli?m/, GAL-ee-?m",silvery blue,31,"group 13, p-block",4,post-transition metal,69.7231,[Ar] 3d10 4s2 4p1,2,,solid,302.9146,2673,,6.095,,,,5.59,256,25.86,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1310, 1448, 1620, 1838, 2125, 2518",3,Pauling scale: 1.81,"1st: 578.8 kJ/mol, 2nd: 1979.3 kJ/mol, 3rd: 2963 kJ/mol, (more)",122±3 pm,187,orthorhombic,,40.6,diamagnetic,7440-55-3,,,"iso, NA, half-life, DM, DE (MeV), DP, 66Ga, syn, 9.5 h, ?+, 4.153, 66Zn, 67Ga, syn, 3.261 d, ?, 1.001, 67Zn, 68Ga, syn, 1.13 h, ?+, 1.899, 68Zn, 69Ga, 60.11%, 69Ga is stable with 38 neutrons, 70Ga, syn, 21.1 min, ??, 1.653, 70Ge, ?, 0.655, 70Zn, 71Ga, 39.89%, 71Ga is stable with 40 neutrons, 72Ga, syn, 14.10 h, ??, 3.997, 72Ge, 73Ga, syn, 4.9 h, ??, 1.598, 73Ge",1310,"after Gallia (Latin for: France), homeland of the discoverer",,5.91,empirical: 135 pm,2740,18,270,9.8,,,1.5,56.8–68.7 MPa,0.47,,,,,,,,Dmitri Mendeleev (1871),Lecoq de Boisbaudran (1875),,,,,,,,,,,
32,Germanium,Ge,"germanium, Ge","/d??r?me?ni?m/, j?r-MAY-nee-?m",grayish-white,32,"group 14 (carbon group), p-block",4,metalloid,72.6308,[Ar] 3d10 4s2 4p2,2,,solid,1211.4,3106,,5.6,,,,36.94,334,23.222,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1644, 1814, 2023, 2287, 2633, 3104",4,Pauling scale: 2.01,"1st: 762 kJ/mol, 2nd: 1537.5 kJ/mol, 3rd: 3302.1 kJ/mol",122,211,face-centered diamond-cubic,,60.2,diamagnetic,7440-56-4,Clemens Winkler (1886),,"iso, NA, half-life, DM, DE (MeV), DP, 68Ge, syn, 270.8 d, ?, –, 68Ga, 70Ge, 20.52%, 70Ge is stable with 38 neutrons, 71Ge, syn, 11.26 d, ?, –, 71Ga, 72Ge, 27.45%, 72Ge is stable with 40 neutrons, 73Ge, 7.76%, 73Ge is stable with 41 neutrons, 74Ge, 36.52%, 74Ge is stable with 42 neutrons, 76Ge, 7.75%, 1.78×1021 y, ????, 2.039, 76Se",1644,"after Germany, homeland of the discoverer",,5.323,empirical: 122 pm,5400,6,1,103,41,75,6,,0.26,,,,,,,,Dmitri Mendeleev (1871),,,0.67,,,,,,,,,
33,Arsenic,As,"arsenic, As","/???rs?n?k/, also /??r?s?n?k/ when attributive
AR-s?-nik, ar-SEN-ik",metallic grey,33,"group 15 (pnictogens), p-block",4,metalloid,74.9215956,[Ar] 3d10 4s2 4p3,2,,solid,,,,5.22,,1090,1673,grey: 24.44 kJ/mol,34.76,24.64,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 553, 596, 646, 706, 781, 874",5,Pauling scale: 2.18,"1st: 947.0 kJ/mol, 2nd: 1798 kJ/mol, 3rd: 2735 kJ/mol, (more)",119±4 pm,185,rhombohedral,,50.2,diamagnetic,7440-38-2,Early Bronze Age (2500 BC),,"iso
NA
half-life
DM
DE (MeV)
DP


73As
syn
80.3 d
?
–
73Ge


?
0.05D, 0.01D, e
–


74As
syn
17.78 d
?
–
74Ge


?+
0.941
74Ge


?
0.595, 0.634
–


??
1.35, 0.717
74Se


75As
100%
75As is stable with 42 neutrons",553,,Albertus Magnus (1250),5.727,empirical: 119 pm,,5.6,333,8,,22,3.5,1440,,,"grey (most common), yellow, black",,887,,,,,,,,,,,,,,,,
34,Selenium,Se,"selenium, Se","/s??li?ni?m/, si-LEE-nee-?m","black, red, and gray (not pictured) allotropes",34,"group 16 (chalcogens), p-block",4,"polyatomic nonmetal, sometimes considered a metalloid",78.9718,[Ar] 3d10 4s2 4p4,2,,solid,494,958,,3.99,,,1766,gray: 6.69 kJ/mol,95.48,25.363,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 500, 552, 617, 704, 813, 958",6,Pauling scale: 2.55,"1st: 941.0 kJ/mol, 2nd: 2045 kJ/mol, 3rd: 2973.7 kJ/mol",120±4 pm,190,hexagonal,,amorphous: 0.519 W/(m·K),diamagnetic,7782-49-2,,,"iso
NA
half-life
DM
DE (MeV)
DP


72Se
syn
8.4 d
?
–
72As


?
0.046
–


74Se
0.86%
74Se is stable with 40 neutrons


75Se
syn
119.779 d
?
–
75As


?
0.264, 0.136,
0.279
–


76Se
9.23%
76Se is stable with 42 neutrons


77Se
7.60%
77Se is stable with 43 neutrons


78Se
23.69%
78Se is stable with 44 neutrons


79Se
trace
3.27×105 y
??
0.151
79Br


80Se
49.80%
80Se is stable with 46 neutrons


82Se
8.82%
1.08×1020 y
????
2.995
82Kr",500,"after Selene, Greek goddess of the moon",,"gray: 4.81 g/cm3, alpha: 4.39 g/cm3, vitreous: 4.28 g/cm3",empirical: 120 pm,3350,amorphous: 37 µm/(m·K) (at 25 °C),,10,3.7,8.3,2,736,0.33,,,,,,,,,Jöns Jakob Berzelius and Johann Gottlieb Gahn (1817),,,,,,,,,,,
35,Bromine,Br,"bromine, Br","/?bro?mi?n/ or /?bro?m?n/, BROH-meen or BROH-min",reddish-brown,35,"group 17 (halogens), p-block",4,diatomic nonmetal,79.904,[Ar] 3d10 4s2 4p5,2,,liquid,265.8,332,,,,265.9,588,(Br2) 10.571 kJ/mol,,(Br2) 75.69 J/(mol·K),"vapour pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 185, 201, 220, 244, 276, 332",7,Pauling scale: 2.96,,120±3 pm,185,orthorhombic,206,0.122,diamagnetic,7726-95-6,,,"iso, NA, half-life, DM, DE (MeV), DP, 79Br, 51%, 79Br is stable with 44 neutrons, 81Br, 49%, 81Br is stable with 46 neutrons",185,,,"Br2, liquid: 3.1028 g/cm3",empirical: 120 pm,,,7.8×1010 ?·m (at 20 °C),,,,,,,,,,,,(Br2) 29.96 kJ/mol,"1st: 1139.9 kJ/mol, 2nd: 2103 kJ/mol, 3rd: 3470 kJ/mol",,Antoine Jérôme Balard and Carl Jacob Löwig (1825),,,,,,,,,,,
36,Krypton,Kr,"krypton, Kr","/?kr?pt?n/, KRIP-ton","colorless gas, exhibiting a whitish glow in a high electric field",36,"group 18 (noble gases), p-block",4,noble gas,83.7982,[Ar] 3d10 4s2 4p6,2,,gas,115.78,119.93,3.749,,2.413,115.775,209.48,1.64,9.08,20.95,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 59, 65, 74, 84, 99, 120",2,Pauling scale: 3.00,"1st: 1350.8 kJ/mol, 2nd: 2350.4 kJ/mol, 3rd: 3565 kJ/mol",116±4 pm,202,face-centered cubic (fcc),"(gas, 23 °C) 220 m·s?1
(liquid) 1120 m/s",9.43×10?3  W/(m·K),diamagnetic,7439-90-9,,,"iso
NA
half-life
DM
DE (MeV)
DP


78Kr
0.36%
78Kr is stable with 42 neutrons


79Kr
syn
35.04 h
?
–
79Br


?+
0.604
79Br


?
0.26, 0.39, 0.60
–


80Kr
2.29%
80Kr is stable with 44 neutrons


81Kr
trace
2.29×105 y
?
–
81Br


?
0.281
–


82Kr
11.59%
82Kr is stable with 46 neutrons


83Kr
11.50%
83Kr is stable with 47 neutrons


84Kr
56.99%
84Kr is stable with 48 neutrons


85Kr
syn
10.756 y
??
0.687
85Rb


86Kr
17.28%
86Kr is stable with 50 neutrons",59,,,,,,,,,,,,,,,,,,,,,,William Ramsay and Morris Travers (1898),,,,,,,,,,,
37,Rubidium,Rb,"rubidium, Rb","/r??b?di?m/, roo-BID-ee-?m",grey white,37,"group 1 (alkali metals), s-block",5,alkali metal,85.46783,[Kr] 5s1,2,,solid,312.45,961,,1.46,,312.41,2093,2.19,69,31.06,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 434, 486, 552, 641, 769, 958","+1, ?1 (a strongly basic oxide)",Pauling scale: 0.82,"1st: 403 kJ/mol, 2nd: 2632.1 kJ/mol, 3rd: 3859.4 kJ/mol",220±9 pm,303,body-centered cubic (bcc),,58.2,paramagnetic,7440-17-7,Robert Bunsen and Gustav Kirchhoff (1861),,"iso
NA
half-life
DM
DE (MeV)
DP


83Rb
syn
86.2 d
?
–
83Kr


?
0.52, 0.53,
0.55
–


84Rb
syn
32.9 d
?
–
84Kr


?+
1.66, 0.78
84Kr


?
0.881
–


??
0.892
84Sr


85Rb
72.17%
85Rb is stable with 48 neutrons


86Rb
syn
18.65 d
??
1.775
86Sr


?
1.0767
–


87Rb
27.83%
4.9×1010 y
??
0.283
87Sr",434,,George de Hevesy,1.532,empirical: 248 pm,1300,90,128,2.4,,2.5,0.3,0.216,,,,,,,,,,,,,,,,,,,,,
38,Strontium,Sr,"strontium, Sr","/?str?n???m/ or /?str?nti?m/, STRON-sh(ee)-?m or STRON-tee-?m",silvery white metallic; with a pale yellow tint,38,"group 2 (alkaline earth metals), s-block",5,alkaline earth metal,87.621,[Kr] 5s2,2,,solid,1050,1650,,2.375,,,,7.43,141,26.4,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 796, 882, 990, 1139, 1345, 1646",2,Pauling scale: 0.95,"1st: 549.5 kJ/mol, 2nd: 1064.2 kJ/mol, 3rd: 4138 kJ/mol",195±10 pm,249,face-centered cubic (fcc),,35.4,paramagnetic,7440-24-6,William Cruickshank (1787),,"iso
NA
half-life
DM
DE (MeV)
DP


82Sr
syn
25.36 d
?
–
82Rb


83Sr
syn
1.35 d
?
–
83Rb


?+
1.23
83Rb


?
0.76, 0.36
–


84Sr
0.56%
84Sr is stable with 46 neutrons


85Sr
syn
64.84 d
?
–
85Rb


?
0.514D
–


86Sr
9.86%
86Sr is stable with 48 neutrons


87Sr
7.00%
87Sr is stable with 49 neutrons


88Sr
82.58%
88Sr is stable with 50 neutrons


89Sr
syn
50.52 d
?
1.49
89Rb


??
0.909D
89Y


90Sr
trace
28.90 y
??
0.546
90Y",796,"after the mineral strontianite, itself named after Strontian, Scotland",Humphry Davy (1808),2.64,empirical: 215 pm,,22.5,132,15.7,6.03,,1.5,,0.28,,,,,,,,,,,,,,,,,,,,
39,Yttrium,Y,"yttrium, Y","/??tri?m/, IT-ree-?m",silvery white,39,"group 3, d-block",5,transition metal,88.905842,[Kr] 4d1 5s2,2,,solid,1799,3203,,4.24,,,,11.42,363,26.53,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1883, 2075, (2320), (2627), (3036), (3607)",3,Pauling scale: 1.22,"1st: 600 kJ/mol, 2nd: 1180 kJ/mol, 3rd: 1980 kJ/mol",190±7 pm,,hexagonal close-packed (hcp),,17.2,paramagnetic,7440-65-5,Johan Gadolin (1794),,"iso
NA
half-life
DM
DE (MeV)
DP


87Y
syn
3.35 d
?
–
87Sr


?
0.48, 0.38D
–


88Y
syn
106.6 d
?
–
88Sr


?
1.83, 0.89
–


89Y
100%
89Y is stable with 50 neutrons


90Y
syn
2.67 d
??
2.28
90Zr


?
2.18
–


91Y
syn
58.5 d
??
1.54
91Zr


?
1.20
–",1883,"after Ytterby, Sweden and its mineral ytterbite (gadolinite)",Carl Gustav Mosander (1840),4.472,empirical: 180 pm,3300,"?, poly: 10.6 µm/(m·K) (at r.t.)","?, poly: 596 n?·m (at r.t.)",63.5,25.6,41.2,,200–589 MPa,0.243,,,,,,,,,,,,,,,,,,,,
40,Zirconium,Zr,"zirconium, Zr","/z?r?ko?ni?m/, z?r-KOH-ni-?m",silvery white,40,"group 4, d-block",5,transition metal,91.2242,[Kr] 4d2 5s2,2,,solid,2128,4650,,5.8,,,,14,591,25.36,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2639, 2891, 3197, 3575, 4053, 4678",4,Pauling scale: 1.33,"1st: 640.1 kJ/mol, 2nd: 1270 kJ/mol, 3rd: 2218 kJ/mol",175±7 pm,,hexagonal close-packed (hcp),,22.6,paramagnetic,7440-67-7,Martin Heinrich Klaproth (1789),,"iso, NA, half-life, DM, DE (MeV), DP, 88Zr, syn, 83.4 d, ?, –, 88Y, ?, 0.392D, –, 89Zr, syn, 78.4 h, ?, –, 89Y, ?+, 0.902, 89Y, ?, 0.909D, –, 90Zr, 51.45%, 90Zr is stable with 50 neutrons, 91Zr, 11.22%, 91Zr is stable with 51 neutrons, 92Zr, 17.15%, 92Zr is stable with 52 neutrons, 93Zr, trace, 1.53×106 y, ??, 0.060, 93Nb, 94Zr, 17.38%, 94Zr is stable with 54 neutrons, 96Zr, 2.80%, 2.0×1019 y, ????, 3.348, 96Mo",2639,"after zircon, zargun ????? meaning ""gold-colored"".",Jöns Jakob Berzelius (1824),6.52,empirical: 160 pm,3800,5.7,421,88,33,91.1,5,638–1880 MPa,0.34,820–1800 MPa,,,,,,,,,,,,,,,,,,,
41,Niobium,Nb,"niobium, Nb","/na??o?bi?m/, ny-OH-bee-?m","gray metallic, bluish when oxidized",41,"group 5, d-block",5,transition metal,92.906372,[Kr] 4d4 5s1,2,,solid,2750,5017,,,,,,30,689.9,24.6,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2942, 3207, 3524, 3910, 4393, 5013",5,Pauling scale: 1.6,"1st: 652.1 kJ/mol, 2nd: 1380 kJ/mol, 3rd: 2416 kJ/mol",164±6 pm,,body-centered cubic (bcc),,53.7,paramagnetic,7440-03-1,Charles Hatchett (1801),,"iso
NA
half-life
DM
DE (MeV)
DP


90Nb
syn
14.6 h
?+
–
90Zr


91Nb
syn
680 y
?
–
91Zr


91mNb
syn
60.86 d
IT
0.104e
91Nb


92m1Nb
syn
10.15 d
?
–
92Zr


?
0.934
–


92Nb
trace
3.47×107 y
?
–
92Zr


?
0.561, 0.934
–


93Nb
100%
93Nb is stable with 52 neutrons


93mNb
syn
16.13 y
IT
0.031e
93Nb


94Nb
trace
20300 y
??
0.471
94Mo


?
0.702, 0.871
–


95Nb
syn
34.991 d
??
0.159
95Mo


?
0.765
–


95mNb
syn
3.61 d
IT
0.235
95Nb


96Nb
syn
23.4 h
??
–
96Mo",2942,"after Niobe in Greek mythology, daughter of Tantalus (tantalum)",Christian Wilhelm Blomstrand (1864),8.57,empirical: 146 pm,3480,7.3,152,105,38,170,6,735–2450 MPa,0.4,870–1320 MPa,,,,,,,,,columbium,,,,,Heinrich Rose (1844),,,,,
42,Molybdenum,Mo,"molybdenum, Mo","/?m?l?b?di?n?m/ or /m??l?bd?n?m/, MOL-ib-DEE-n?m or m?-LIB-di-n?m",gray metallic,42,"group 6, d-block",5,transition metal,95.951,[Kr] 4d5 5s1,2,,solid,2896,4912,,9.33,,,,37.48,598,24.06,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2742, 2994, 3312, 3707, 4212, 4879",6,Pauling scale: 2.16,"1st: 684.3 kJ/mol, 2nd: 1560 kJ/mol, 3rd: 2618 kJ/mol",154±5 pm,,body-centered cubic (bcc),,138,paramagnetic,7439-98-7,Carl Wilhelm Scheele (1778),,"iso
NA
half-life
DM
DE (MeV)
DP


92Mo
14.65%
92Mo is stable with 50 neutrons


93Mo
syn
4×103 y
?
–
93Nb


94Mo
9.19%
94Mo is stable with 52 neutrons


95Mo
15.87%
95Mo is stable with 53 neutrons


96Mo
16.67%
96Mo is stable with 54 neutrons


97Mo
9.58%
97Mo is stable with 55 neutrons


98Mo
24.29%
98Mo is stable with 56 neutrons


99Mo
syn
65.94 h
??
0.436, 1.214
99mTc


?
0.74, 0.36,
0.14
–


100Mo
9.74%
7.8×1018 y
????
3.04
100Ru",2742,,Peter Jacob Hjelm (1781),10.28,empirical: 139 pm,5400,4.8,53.4,329,126,230,5.5,1370–2500 MPa,0.31,1400–2740 MPa,,,,,,,,,,,,,,,54.3,,,,
