,Train no.,Train name,Starts,Ends
824,16613,Coimbatore Express,Rajkot Junction,Coimbatore Junction
825,12681,Coimbatore Express,Chennai Central,Coimbatore Junction
826,6037,Coimbatore Express,Chennai Egmore,Coimbatore Junction
827,6607,Coimbatore Express,Chennai Central,Coimbatore Junction
828,6039,Coimbatore Express,Chennai Egmore,Coimbatore Junction
829,12679,Coimbatore Express,Chennai Central,Coimbatore Junction
830,11013,Coimbatore Express,Lokmanyatilak T,Coimbatore Junction
831,25014,Corbet Prk Link,Ramnagar,Jaisalmer
832,12841,Coromandal Express,Howrah Junction,Chennai Central
833,12842,Coromandel Express,Chennai Central,Howrah Junction
834,5103,Cpr Aii Special,Chhapra,Ajmer Junction
835,15115,Cpr Dli Express,Chhapra,Delhi
836,15117,Cpr G Express,Chhapra,Gondia Junction
837,15106,Cpr Intercity,Gorakhpur Junction,Chhapra
838,15112,Cpr Intercity,Manduadih,Chhapra
839,5143,Cpr Jat Special,Chhapra,Jammu Tawi
840,15053,Cpr Ljn Express,Chhapra,Lucknow Ne
841,5065,Cpr Ljn Special,Chhapra,Lucknow Ne
842,5115,Cpr Ljn Special,Chhapra,Lucknow Ne
843,11060,Cpr Ltt Express,Chhapra,Lokmanyatilak T
844,15107,Cpr Mtj Express,Chhapra,Mathura Junction
845,18182,Cpr Tata Express,Chhapra,Tatanagar Junction
846,8182,Cpr Tata Special,Chhapra,Tatanagar Junction
847,1065,Cstm Ers Special,Mumbai Cst,Eranakulam Junction
848,2004,Cstm Ac Premium,Karmali,Mumbai Cst
849,12111,Cstm Amravati E,Mumbai Cst,Amravati
850,12362,Cstm Asansol Express,Mumbai Cst,Asansol Junction
851,1027,Cstm Bsb Special,Mumbai Cst,Varanasi Junction
852,1079,Cstm Bsb Special,Mumbai Cst,Varanasi Junction
853,11041,Cstm Chennai Express,Mumbai Cst,Chennai Central
854,51034,Cstm Fast Passenger,Sainagar Shirdi,Mumbai Cst
855,1034,Cstm Ganpati Special,Madgaon,Mumbai Cst
856,2187,Cstm Garibrath,Jabalpur,Mumbai Cst
857,2083,Cstm Hatia Special,Mumbai Cst,Hatia
858,1087,Cstm Hatia Special,Mumbai Cst,Hatia
859,2041,Cstm Hwh Superfast Special,Mumbai Cst,Howrah Junction
860,2171,Cstm Jat Special,Mumbai Cst,Jammu Tawi
861,1701,Cstm Jbp Superfast Special,Mumbai Cst,Jabalpur
862,4154,Cstm Kanpur Special,Mumbai Cst,Kanpur Central
863,22107,Cstm Latur Express,Mumbai Cst,Latur
864,1051,Cstm Mao Special,Mumbai Cst,Madgaon
865,1033,Cstm Mao Special,Mumbai Cst,Madgaon
866,1211,Cstm Nagpur Special,Mumbai Cst,Nagpur
867,1013,Cstm Nagpur Special,Mumbai Cst,Nagpur
868,2008,Cstm Premium,Vellankanni,Mumbai Cst
869,2702,Cstm Sc Premium,Mumbai Cst,Secunderabad Junction
870,2002,Cstm Shatabdi Special,Karmali,Mumbai Cst
871,11305,Cstm Solapur Express,Mumbai Cst,Solapur Junction
872,12959,Dadar Bhuj Express,Dadar,Bhuj
873,22629,Dadar Ten Express,Dadar,Tirunelveli
874,12722,Dakshin Express,H Nizamuddin,Vishakapatnam
875,12351,Danapur Express,Howrah Junction,Danapur
876,12352,Danapur Hwh Express,Danapur,Howrah Junction
877,11065,Darbhanga Express,Lokmanyatilak T,Darbhanga Junction
878,5288,Darbhanga Express,Yesvantpur Junction,Darbhanga Junction
879,11033,Darbhanga Express,Pune Junction,Darbhanga Junction
880,12343,Darjeeling Mail,Sealdah,Haldibari
881,12344,Darjeeling Mail,Haldibari,Sealdah
882,14035,Dauladhar Express,Delhi,Pathankot
883,57515,Daund Nanded Passenger,Daund Junction,Nanded
884,12182,Dayodaya Express,Ajmer Junction,Jabalpur
885,12181,Dayodaya Express,Jabalpur,Ajmer Junction
886,5818,Dbb Apdj Special,Dhubri,Alipur Duar Junction
887,5917,Dbb Dbrg Special,Dhubri,Dibrugarh
888,15817,Dbb Shtt Rr Express,Dhubri,Silghat Town
889,5237,Dbg Aii Special,Darbhanga Junction,Ajmer Junction
890,5213,Dbg Anvt Special,Darbhanga Junction,Anand Vihar Trm
891,4409,Dbg Dli Premium,Darbhanga Junction,Delhi
892,4023,Dbg Dli Premium,Darbhanga Junction,Delhi
893,15236,Dbg Hwh Express,Darbhanga Junction,Howrah Junction
894,17006,Dbg Hyb Express,Raxual Junction,Hyderabad Decan
895,15234,Dbg Koaa Express,Darbhanga Junction,Kolkata
896,11066,Dbg Ltt Express,Darbhanga Junction,Lokmanyatilak T
897,2050,Dbg Ltt Premium,Darbhanga Junction,Lokmanyatilak T
898,4410,Dbg Premium Special,Delhi,Darbhanga Junction
899,11034,Dbg Pune Express,Darbhanga Junction,Pune Junction
900,17008,Dbg Sc Express,Darbhanga Junction,Secunderabad Junction
901,5287,Dbg Ypr Exam Special,Darbhanga Junction,Yesvantpur Junction
902,5942,Dbrg Koaa Special,Dibrugarh,Kolkata
903,15905,Dbrg Vivek Express,Kanyakumari,Dibrugarh
904,15933,Dbrg Asr Express,Dibrugarh,Amritsar Junction
905,15903,Dbrg Cdg Express,Dibrugarh,Chandigarh
906,5903,Dbrg Cdg Special,Dibrugarh,Chandigarh
907,5918,Dbrg Dbb Special,Dibrugarh,Dhubri
908,5970,Dbrg Ghy Special,Dibrugarh,Guwahati
909,15942,Dbrg Jhajha Express,Dibrugarh,Jhajha
910,12526,Dbrg Koaa Express,Dibrugarh,Kolkata
911,15930,Dbrg Ms Express,Dibrugarh,Chennai Egmore
912,12235,Dbrg Ndls Rajex,Dibrugarh,New Delhi
913,15928,Dbrg Rny Express,Dibrugarh,Rangiya Junction
914,5968,Dbrg Rny Special,Dibrugarh,Rangiya Junction
915,15902,Dbrg Sbc Express,Dibrugarh,Bangalore Cy Junction
916,12424,Dbrt Rajdhani,New Delhi,Dibrugarh Town
917,12435,Dbrt Rajdhani E,Dibrugarh Town,New Delhi
918,12423,Dbrt Rajdhani E,Dibrugarh Town,New Delhi
919,14631,Ddn Asr Express,Dehradun,Amritsar Junction
920,14266,Ddn Bsb Express,Dehradun,Varanasi Junction
921,15006,Ddn Gkp Express,Dehradun,Gorakhpur Junction
922,14318,Ddn Indb Express,Dehradun,Indore Junction Bg
923,12055,Ddn Janshtbdi,New Delhi,Dehradun
924,12288,Ddn Kcvl Superfast Express,Dehradun,Kochuveli
925,22660,Ddn Kcvl Superfast Express,Dehradun,Kochuveli
926,14120,Ddn Kgm Express,Dehradun,Kathgodam
927,12688,Ddn Mdu Superfast Express,Dehradun,Madurai Junction
928,15002,Ddn Mfp Express,Dehradun,Muzaffarpur Junction
929,12490,Ddr Bikaner Express,Dadar,Bikaner Junction
930,4728,Ddr Bkn Superfast Special,Dadar,Bikaner Junction
931,11007,Deccan Express,Mumbai Cst,Pune Junction
932,11008,Deccan Express,Pune Junction,Mumbai Cst
933,12123,Deccan Queen,Mumbai Cst,Pune Junction
934,12124,Deccan Queen,Pune Junction,Mumbai Cst
935,9418,Dee Adi Premium,Delhi S Rohilla,Ahmedabad Junction
936,22920,Dee Adi Superfast Special,Delhi S Rohilla,Ahmedabad Junction
0,9628,Dee Aii Superfast Special,Delhi S Rohilla,Ajmer Junction
1,19030,Dee Bdts Express,Delhi S Rohilla,Bandra Terminus
2,12215,Dee Bdts G Rath,Delhi S Rohilla,Bandra Terminus
3,12457,Dee Bkn S F Express,Delhi S Rohilla,Bikaner Junction
4,12455,Dee Bkn Superfast Express,Delhi S Rohilla,Bikaner Junction
5,12985,Dee Double Dcke,Jaipur,Delhi S Rohilla
6,22985,Dee Double Dcke,Jaipur,Delhi S Rohilla
7,12216,Dee Garibrath,Bandra Terminus,Delhi S Rohilla
8,22471,Dee Intercity,Bikaner Junction,Delhi S Rohilla
9,14626,Dee Intercity,Firozpur Cant,Delhi S Rohilla
10,12265,Dee Jat Duronto,Delhi S Rohilla,Jammu Tawi
11,9706,Dee Jp Ac Special,Delhi S Rohilla,Jaipur
12,22482,Dee Ju Superfast,Delhi S Rohilla,Jodhpur Junction
13,19264,Dee Porbndr Express,Delhi S Rohilla,Porbandar
14,9742,Dee Re Special,Delhi S Rohilla,Rewari
15,19580,Dee Rjt Express,Delhi S Rohilla,Rajkot Junction
16,9580,Dee Rjt Special,Delhi S Rohilla,Rajkot Junction
17,14812,Dee Sikar Express,Delhi S Rohilla,Sikar Junction
18,14705,Dee Sujh Express,Delhi S Rohilla,Sujangarh
19,22401,Dee Uhp Ac Superfast,Delhi S Rohilla,Udhampur
20,4035,Dee Uhp Special,Delhi S Rohilla,Udhampur
21,19020,Dehradun Express,Dehradun,Bandra Terminus
22,22659,Dehradun Express,Kochuveli,Dehradun
23,12687,Dehradun Express,Madurai Junction,Chandigarh
24,12287,Dehradun Express,Kochuveli,Dehradun
25,19019,Dehradun Express,Bandra Terminus,Dehradun
26,29020,Dehradun Express,Meerut City,Mandasor
27,12018,Dehradun Shatabdi,Dehradun,New Delhi
28,12017,Dehradun Shatabdi,New Delhi,Dehradun
29,22919,Delhi Special,Ahmedabad Junction,Delhi S Rohilla
30,19263,Delhi Sr Express,Porbandar,Delhi S Rohilla
31,17058,Devagiri Express,Secunderabad Junction,Mumbai Cst
32,17057,Devagiri Express,Mumbai Cst,Secunderabad Junction
33,5421,Dgha Apdj Special,Digha Flag Stn,Alipur Duar Junction
34,12848,Dgha Hwh Duront,Digha Flag Stn,Howrah Junction
35,2250,Dgha Hwh Special,Digha Flag Stn,Howrah Junction
36,13417,Dgha Mldt Express,Digha Flag Stn,Malda Town
37,22877,Dgha Puri Express,Digha Flag Stn,Puri
38,22889,Dgha Puri Superfast E,Digha Flag Stn,Puri
39,22873,Dgha Vskp Express,Digha Flag Stn,Vishakapatnam
40,13352,Dhanbad Express,Alleppey,Tatanagar Junction
41,14036,Dhauladhar Express,Pathankot,Delhi
42,12822,Dhauli Express,Puri,Howrah Junction
43,12821,Dhauli Express,Howrah Junction,Puri
44,59393,Dhd Hbj Fast Pa,Dahod,Habibganj
45,13351,Dhn Alappuzha E,Dhanbad Junction,Alleppey
46,12832,Dhn Garib Rath,Bhubaneswar,Dhanbad Junction
47,12386,Dhn Hwh D D Express,Dhanbad Junction,Howrah Junction
48,13331,Dhn Pnbe Express,Dhanbad Junction,Patna Junction
49,3327,Dhn Smi Special,Dhanbad Junction,Sitamarhi
50,15929,Dibrugarh Express,Chennai Egmore,Dibrugarh
51,15901,Dibrugarh Express,Bangalore Cy Junction,Dibrugarh
52,11045,Dikshabhoomi Express,C Shahumharaj T,Dhanbad Junction
53,11046,Dikshabhumi Express,Dhanbad Junction,C Shahumharaj T
54,50105,Diva Swv Passenger,Diva,Sawantwadi Road
55,52544,Dj Kgn Ng Train,Darjeeling,Kurseong
56,52588,Dj Kgn Ng Train,Darjeeling,Kurseong
57,52540,Dj Njp Ng Train,Darjeeling,Kurseong
58,52572,Dj Njp Ng Train,Darjeeling,Kurseong
59,5736,Dkgn Kir Special,Dekargaon,Katihar Junction
60,4041,Dli Aii Superfast Special,Delhi,Ajmer Junction
61,4932,Dli Bsb Special,Delhi,Varanasi Junction
62,4413,Dli Hsx Special,Delhi,Hoshiarpur
63,13120,Dli Sdah Express,Delhi,Sealdah
64,4002,Dli Ald Superfast Special,Delhi,Allahabad Junction
65,14001,Dli Attari Express,Delhi,Atari
66,54078,Dli Be Passengr,Delhi,Bareilly
67,4432,Dli Bsb Special,Delhi,Varanasi Junction
68,4206,Dli Bsb Special,Delhi,Varanasi Junction
69,4031,Dli Cdg Express,Delhi,Chandigarh
70,15116,Dli Cpr Express,Delhi,Chhapra
71,14206,Dli Fd Express,Delhi,Faizabad Junction
72,14731,Dli Fka Express,Delhi,Fazilka
73,3686,Dli Gaya Superfast Special,Delhi,Gaya Junction
74,14011,Dli Hsx Express,Delhi,Hoshiarpur
75,14659,Dli Jsm Express,Delhi,Barmer
76,4438,Dli Lko Ac Special,Delhi,Lucknow Nr
77,4037,Dli Pnp Special,Delhi,Panipat Junction
78,14037,Dli Ptk Express,Delhi,Pathankot
79,4411,Dli Svdk Suvidh,Delhi,Shmata V D Ktra
80,14521,Dli Umb Express,Delhi,Ambala Cant Junction
81,52576,Dmr Agtl Passenger,Dharmanagar,Agartala
82,3402,Dnr Bgp Special,Danapur,Bhagalpur
83,13247,Dnr Capital Express,Kamakhya,Danapur
84,83132,Dnr Grd Link Express,Danapur,Giridih
85,3236,Dnr Sbg Special,Danapur,Sahibganj Junction
86,23226,Dnr Shc Link Express,Danapur,Saharsa Junction
87,18184,Dnr Tata Express,Danapur,Tatanagar Junction
88,13010,Doon Express,Dehradun,Howrah Junction
89,13009,Doon Express,Howrah Junction,Kotdwara
90,23010,Doon Exxpress,Kotdwara,Howrah Junction
91,13244,Dos Pnbe Intcit,Dehri On Sone,Patna Junction
92,12131,Dr Sainagar Express,Dadar,Sainagar Shirdi
93,1003,Dr Swv Special,Dadar,Sawantwadi Road
94,18209,Drz R Express,Dalli Rajhara,Raipur Junction
95,18620,Dumk Rnc Express,Dumka,Ranchi
96,18241,Durg Abkp Express Pa,Durg,Chirmiri
97,18207,Durg Aii Express,Durg,Ajmer Junction
98,18215,Durg Jat Express,Durg,Jammu Tawi
99,12549,Durg Jat Superfast Express,Durg,Jammu Tawi
100,1708,Durg Jbp Special,Durg,Jabalpur
101,18211,Durg Jdb Express,Durg,Jagdalpur
102,18213,Durg Jp Express,Durg,Jaipur
103,9718,Durg Jp Special,Durg,Jaipur
104,18205,Durg Ntv Express,Durg,Nautanwa
105,18201,Durg Ntv Express,Durg,Nautanwa
106,8798,Durg Premium Special,Ambala Cant Junction,Durg
107,18426,Durg Puri Express,Durg,Puri
108,58529,Durg Vskp Pgr,Durg,Vishakapatnam
109,12357,Durgiana Express,Kolkata,Amritsar Junction
110,12220,Duronto Ac Express,Secunderabad Junction,Lokmanyatilak T
111,12269,Duronto Express,Chennai Central,H Nizamuddin
112,12266,Duronto Express,Jammu Tawi,Delhi S Rohilla
113,12213,Duronto Express,Yesvantpur Junction,Delhi S Rohilla
114,22201,Duronto Express,Sealdah,Puri
115,22214,Duronto Express,Patna Junction,Shalimar
116,12246,Duronto Express,Yesvantpur Junction,Howrah Junction
117,22202,Duronto Express,Puri,Sealdah
118,9726,Duronto Special,Jaipur,Mumbai Central
119,15636,Dwarka Express,Guwahati,Okha
120,17302,Dwr Mysore Express,Dharwar,Mysore Junction
121,56904,Dwr Sur Passenge,Dharwar,Solapur Junction
122,18645,East Coast Express,Howrah Junction,Hyderabad Decan
123,18646,East Coast Express,Hyderabad Decan,Howrah Junction
124,16606,Ernad Express,Nagercoil Junction,Mangalore Cntl
125,16605,Ernad Express,Mangalore Cntl,Nagercoil Junction
126,12677,Ernakulam Express,Bangalore Cy Junction,Eranakulam Junction
127,16314,Ernakulam Express,Kannur,Eranakulam Junction
128,16306,Ernakulam Express,Kannur,Eranakulam Junction
129,16187,Ernakulam Express,Karaikal,Eranakulam Junction
130,22608,Ernakulam Superfast Express,Bangalore Cy Junction,Eranakulam Junction
131,12684,Ernakulam Superfast Express,Bangalore Cy Junction,Eranakulam Junction
132,6055,Ernakulum Express,Chennai Central,Eranakulam Junction
133,6345,Ernakulum Express,Chennai Central,Eranakulam Junction
134,22816,Ers Bilaspur Express,Eranakulam Junction,Bilaspur Junction
135,16188,Ers Karaikalexp,Eranakulam Junction,Karaikal
136,1066,Ers Ltt Express,Eranakulam Junction,Lokmanyatilak T
137,12224,Ers Ltt Duronto,Eranakulam Junction,Lokmanyatilak T
138,12646,Ers Millenum Express,H Nizamuddin,Eranakulam Junction
139,12283,Ers Nzm Duronto,Eranakulam Junction,H Nizamuddin
140,16359,Ers Patna Express,Eranakulam Junction,Patna Junction
141,22149,Ers Pune Express,Eranakulam Junction,Pune Junction
142,2854,Ers Src Premium,Eranakulam Junction,Santragachi Junction
143,6549,Ersgaribrath,Yesvantpur Junction,Eranakulam Junction
144,59827,Etawah Passenger,Bhind,Etawah
145,12704,Falaknuma Express,Secunderabad Junction,Howrah Junction
146,12703,Falaknuma Express,Howrah Junction,Secunderabad Junction
147,13413,Farakka Express,Malda Town,Delhi
148,13483,Farakka Express,Malda Town,Delhi
149,13484,Farakka Express,Delhi,Malda Town
150,13414,Farkka Express,Delhi,Malda Town
151,51028,Fast Passenger,Pandharpur,Mumbai Cst
152,51027,Fast Passenger,Mumbai Cst,Pandharpur
153,14205,Fd Dli Express,Faizabad Junction,Delhi
154,22104,Fd Ltt Superfast Express,Faizabad Junction,Lokmanyatilak T
155,14732,Fka Dli Express,Fazilka,Delhi
156,9770,Fl Jp Passenger Special,Phulera Junction,Jaipur
157,12921,Flying Ranee,Mumbai Central,Surat
158,12922,Flying Ranee,Surat,Mumbai Central
159,7138,Fzr Hyb Special,Firozpur Cant,Hyderabad Decan
160,19024,Fzr Bct Janta,Firozpur Cant,Mumbai Central
161,4740,Fzr Bkn Special,Firozpur Cant,Bikaner Junction
162,14625,Fzr Intercity,Delhi S Rohilla,Firozpur Cant
163,19023,Fzr Janata Express,Mumbai Central,Firozpur Cant
164,5718,Fzr Kir Special,Firozpur Cant,Katihar Junction
165,5216,Fzr Shc Special,Firozpur Cant,Saharsa Junction
166,8891,G Sc Superfast Special,Gondia Junction,Secunderabad Junction
167,8897,G Shm Special,Gondia Junction,Shalimar
168,8297,G Src Special,Gondia Junction,Santragachi Junction
169,12616,G T Express,New Delhi,Chennai Central
170,58209,Gad Bsp Passenger,Gevra Road,Bilaspur Junction
171,18239,Gad Ngp Express,Gevra Road,Nagpur
172,13018,Ganadevta Express,Azimganj Junction,Howrah Junction
173,13017,Ganadevta Express,Howrah Junction,Azimganj Junction
174,19451,Gandhidham Express,Bandra Terminus,Gandhidham Bg
175,16336,Gandhidham Express,Nagercoil Junction,Gandhidham Bg
176,16506,Gandhidham Express,Bangalore Cy Junction,Gandhidham Bg
177,9456,Gandhidham Special,Indore Junction Bg,Gandhidham Bg
178,14216,Ganga Gomti Express,Lucknow Nr,Allahabad Junction
179,14215,Ganga Gomti Express,Allahabad Junction,Lucknow Nr
180,13186,Ganga Sagar Express,Jaynagar,Sealdah
181,13329,Gangadamodar Express,Dhanbad Junction,Patna Junction
182,13330,Gangadamodar Express,Patna Junction,Dhanbad Junction
183,12669,Gangakaveri Express,Chennai Central,Chhapra
184,12670,Gangakaveri Express,Chhapra,Chennai Central
185,13185,Gangasagar Express,Sealdah,Jaynagar
186,13308,Gangasatluj Express,Firozpur Cant,Dhanbad Junction
187,13307,Gangasutlej Express,Dhanbad Junction,Firozpur Cant
188,12937,Garbha Express,Gandhidham Bg,Howrah Junction
189,12938,Garbha Express,Howrah Junction,Gandhidham Bg
190,14043,Garhwal Express,Kotdwara,Delhi
191,14044,Garhwal Express,Delhi,Kotdwara
192,15715,Garib Nawaj Express,Kishanganj,Ajmer Junction
193,15716,Garib Nawaj Express,Ajmer Junction,Kishanganj
194,16532,Garib Nawaz Express,Bangalore Cy Junction,Ajmer Junction
195,12203,Garib Rath Express,Saharsa Junction,Amritsar Junction
196,14606,Garib Rath Express,Amritsar Junction,Lal Kuan
197,14605,Garib Rath Express,Lal Kuan,Amritsar Junction
198,12050,Gatimaan Express,H Nizamuddin,Agra Cantt
199,12049,Gatimaan Express,Agra Cantt,H Nizamuddin
200,2397,Gaya Anvt Special,Gaya Junction,Anand Vihar Trm
201,1660,Gaya Hbj Special,Gaya Junction,Habibganj
202,13024,Gaya Hwh Express,Gaya Junction,Howrah Junction
203,1710,Gaya Jbp Special,Gaya Junction,Jabalpur
204,15619,Gaya Kyq Wkly E,Gaya Junction,Kamakhya
205,12389,Gaya Ms Express,Gaya Junction,Chennai Egmore
206,13510,Gd Asn Express,Gonda Junction,Asansol Junction
207,14214,Gd Bsb Intercity,Gonda Junction,Varanasi Junction
208,11111,Gd Sushasan Express,Gwalior,Balrampur
209,2710,Gdr Garibrathsp,Secunderabad Junction,Gudur Junction
210,15632,Ghy Bme Bkn Express,Guwahati,Bikaner Junction
211,5969,Ghy Dbrg Special,Guwahati,Dibrugarh
212,12517,Ghy Garib Rath,Kolkata,Guwahati
213,5609,Ghy Gkp Special,Guwahati,Gorakhpur Junction
214,2502,Ghy Hwh Special,Guwahati,Howrah Junction
215,3058,Ghy Hwh Special,Guwahati,Howrah Junction
216,15606,Ghy Intercity,Dibrugarh,Kamakhya
217,6335,Ghy Kcvl Special,Guwahati,Kochuveli
218,15646,Ghy Ltt Express,Guwahati,Lokmanyatilak T
219,15648,Ghy Ltt Express,Guwahati,Lokmanyatilak T
220,15617,Ghy Nhln I C Express,Guwahati,Mumbai Cst
221,2261,Ghy Premium Special,Sealdah,Guwahati
222,15640,Ghy Puri Express,Guwahati,Puri
223,22423,Ghy Rajdhani Express,Dibrugarh Town,New Delhi
224,12510,Ghy Sbc Express,Guwahati,Bangalore Cy Junction
225,12514,Ghy Sc Express,Guwahati,Secunderabad Junction
226,7250,Ghy Sc Special,Guwahati,Secunderabad Junction
227,7150,Ghy Sc Special,Guwahati,Secunderabad Junction
228,55615,Ghy Scl Passenger,Guwahati,Silchar
229,2262,Ghy Sdah Premiu,Guwahati,Sealdah
230,12516,Ghy Tvc Express,Guwahati,Trivandrum Cntl
231,12508,Ghy Tvc Express,Guwahati,Trivandrum Cntl
232,9455,Gimb Indore Special,Gandhidham Bg,Indore Junction Bg
233,12993,Gimb Puri Express,Gandhidham Bg,Puri
234,19453,Gimb Puri Express,Gandhidham Bg,Puri
235,16505,Gimb Sbc Express,Gandhidham Bg,Bangalore Cy Junction
236,18502,Gimb Vskp Express,Gandhidham Bg,Vishakapatnam
237,12860,Gitanjali Express,Howrah Junction,Mumbai Cst
238,12859,Gitanjali Express,Mumbai Cst,Howrah Junction
239,19410,Gkp Adi Express,Gorakhpur Junction,Ahmedabad Junction
240,15057,Gkp Anvt Express,Gorakhpur Junction,Anand Vihar Trm
241,5027,Gkp Anvt Special,Gorakhpur Junction,Anand Vihar Trm
242,5035,Gkp Anvt Special,Gorakhpur Junction,Anand Vihar Trm
243,5039,Gkp Anvt Special,Gorakhpur Junction,Anand Vihar Trm
244,5049,Gkp Anvt Special,Gorakhpur Junction,Delhi
245,5051,Gkp Anvt Special,Gorakhpur Junction,Anand Vihar Trm
246,5037,Gkp Anvt Special,Gorakhpur Junction,Anand Vihar Trm
247,5057,Gkp Anvt Special,Gorakhpur Junction,Anand Vihar Trm
248,13508,Gkp Asn Express,Gorakhpur Junction,Asansol Junction
249,2533,Gkp Bdts Special,Gorakhpur Junction,Bandra Terminus
250,1078,Gkp Cstm Special,Gorakhpur Junction,Mumbai Cst
251,15005,Gkp Ddn Express,Gorakhpur Junction,Dehradun
252,5610,Gkp Ghy Special,Gorakhpur Junction,Guwahati
253,15105,Gkp Intercity,Chhapra,Gorakhpur Junction
254,15104,Gkp Intercity,Manduadih,Gorakhpur Junction
255,12532,Gkp Intercity,Lucknow Ne,Gorakhpur Junction
256,15020,Gkp Intercity,Nautanwa,Gorakhpur Junction
257,2529,Gkp Jat Premium,Gorakhpur Junction,Jammu Tawi
258,3132,Gkp Koaa Special,Gorakhpur Junction,Kolkata
259,3136,Gkp Koaa Special,Gorakhpur Junction,Kolkata
260,15050,Gkp Kolkata Express,Gorakhpur Junction,Kolkata
261,15052,Gkp Kolkata Express,Gorakhpur Junction,Kolkata
262,15018,Gkp Ltt Express,Gorakhpur Junction,C Shahumharaj T
263,11082,Gkp Ltt Express,Gorakhpur Junction,Lokmanyatilak T
264,11080,Gkp Ltt Express,Gorakhpur Junction,Lokmanyatilak T
265,2018,Gkp Ltt Premium,Gorakhpur Junction,Lokmanyatilak T
266,2016,Gkp Ltt Premium,Gorakhpur Junction,Lokmanyatilak T
267,1048,Gkp Ltt Special,Gorakhpur Junction,Lokmanyatilak T
268,5031,Gkp Ltt Special,Gorakhpur Junction,Lokmanyatilak T
269,12541,Gkp Ltt Superfast Express,Gorakhpur Junction,Lokmanyatilak T
270,55149,Gkp Muv Passenger,Gorakhpur Junction,Manduadih
271,15045,Gkp Okha Express,Gorakhpur Junction,Okha
272,2528,Gkp Premium Special,Anand Vihar Trm,Gorakhpur Junction
273,2017,Gkp Premium Special,Lokmanyatilak T,Gorakhpur Junction
274,2015,Gkp Premium Special,Lokmanyatilak T,Gorakhpur Junction
275,15029,Gkp Pune Express,Gorakhpur Junction,Pune Junction
276,11038,Gkp Pune Express,Gorakhpur Junction,Pune Junction
277,5023,Gkp Pune Special,Gorakhpur Junction,Pune Junction
278,12589,Gkp Sc Express,Gorakhpur Junction,Secunderabad Junction
279,15022,Gkp Shm Express,Gorakhpur Junction,Shalimar
280,15023,Gkp Ypr Express,Gorakhpur Junction,Yesvantpur Junction
281,12591,Gkp Ypr Express,Gorakhpur Junction,Yesvantpur Junction
282,15015,Gkp Ypr Express,Gorakhpur Junction,Yesvantpur Junction
283,19309,Gnc Indore Express,Gandhinagar Cap,Indore Junction Bg
284,22118,Gnt Double Deck,Kacheguda,Guntur Junction
285,57306,Gnt Kcg Passenger,Guntur Junction,Kacheguda
286,12705,Gnt Sc Express,Guntur Junction,Secunderabad Junction
287,7229,Gnt Tpty Special,Guntur Junction,Tirupati
288,12780,Goa Express,H Nizamuddin,Hubli Junction
289,12779,Goa Express,Vasco Da Gama,H Nizamuddin
290,12449,Goa Sampark K Express,Madgaon,Chandigarh
291,12450,Goa Sampark K Express,Chandigarh,Madgaon
292,11056,Godan Express,Gorakhpur Junction,Lokmanyatilak T
293,11055,Godan Express,Lokmanyatilak T,Gorakhpur Junction
294,12728,Godavari Express,Hyderabad Decan,Vishakapatnam
295,12727,Godavari Express,Vishakapatnam,Hyderabad Decan
296,17201,Golconda Express,Guntur Junction,Secunderabad Junction
297,17202,Golconda Express,Secunderabad Junction,Guntur Junction
298,12903,Goldentemple Ml,Mumbai Central,Amritsar Junction
299,12904,Goldn Temple Ml,Amritsar Junction,Mumbai Central
300,16535,Golgumbaz Express,Mysore Junction,Solapur Junction
301,16536,Golgumbaz Express,Solapur Junction,Mysore Junction
302,12419,Gomti Express,Lucknow Nr,New Delhi
303,12420,Gomti Express,New Delhi,Lucknow Nr
304,15232,Gondia Bju Express,Gondia Junction,Barauni Junction
305,15118,Gondia Cpr Express,Gondia Junction,Chhapra
306,12406,Gondwana Express,H Nizamuddin,Bhusaval Junction
307,12410,Gondwana Express,H Nizamuddin,Raigarh
308,12409,Gondwana Express,Raigarh,H Nizamuddin
309,12405,Gondwana Express,Bhusaval Junction,H Nizamuddin
310,12556,Gorakdam Express,Hisar,Gorakhpur Junction
311,12555,Gorakdam Express,Gorakhpur Junction,Hisar
312,15046,Gorakhpur Express,Okha,Gorakhpur Junction
313,15017,Gorakhpur Express,Lokmanyatilak T,Gorakhpur Junction
314,12592,Gorakhpur Express,Yesvantpur Junction,Gorakhpur Junction
315,12590,Gorakhpur Express,Secunderabad Junction,Gorakhpur Junction
316,19409,Gorakhpur Express,Ahmedabad Junction,Gorakhpur Junction
317,23154,Gour Express,Balurghat,Sealdah
318,13154,Gour Express,Malda Town,Sealdah
319,13153,Gour Express,Sealdah,Balurghat
320,12738,Goutami Express,Secunderabad Junction,Kakinada Port
321,12737,Goutami Express,Kakinada Port,Secunderabad Junction
322,1221,Gr Bpl Special,Gulbarga,Bhopal Junction
323,12615,Grand Trunk Express,Chennai Central,New Delhi
324,53520,Grd Link Passenger Express,Giridih,Kolkata
325,57478,Gtl Tpty Passenger,Guntakal Junction,Tirupati
326,19011,Gujarat Express,Mumbai Central,Ahmedabad Junction
327,19012,Gujarat Express,Ahmedabad Junction,Mumbai Central
328,12901,Gujarat Mail,Mumbai Central,Ahmedabad Junction
329,12902,Gujarat Mail,Ahmedabad Junction,Mumbai Central
330,19110,Gujarat Queen,Ahmedabad Junction,Valsad
