Global Rank,Company,Sales ($billion),Profits ($billion),Assets ($billion),Market Value ($billion),Country,Continent,Latitude,Longitude
338,Carnival,15.4,1.5,38.7,28.4,Panama,North America,8.537981,-80.782127
339,American Electric,14.9,1.3,54.4,23.3,USA,North America,37.09024,-95.712891
340,Chubb,13.6,1.5,52.2,22.3,USA,North America,37.09024,-95.712891
341,Garanti Bank,9.8,1.9,99.2,22,Turkey,Europe,38.963745,35.243322
342,Inpex,14.3,2.3,36.9,20.6,Japan,Asia,36.204824,138.252924
343,NIKE,25.3,2.4,15.6,49.4,USA,North America,37.09024,-95.712891
344,Monsanto,14,2.3,22.5,55.9,USA,North America,37.09024,-95.712891
345,United Overseas Bank,7.2,2.3,207,25.1,Singapore,Asia,1.352083,103.819836
345,MTN Group,16.5,2.5,21.4,34.5,South Africa,Africa,-30.559482,22.937506
347,Eaton,16.3,1.2,35.8,29.5,Ireland,Europe,53.41291,-8.24389
348,Marathon Oil,15.6,1.6,35.3,24.8,USA,North America,37.09024,-95.712891
349,Femsa,18.5,1.6,22.6,37.7,Mexico,North America,23.634501,-102.552784
350,Indian Oil,70.8,0.8,43.2,14.2,India,Asia,20.593684,78.96288
351,Raytheon,24.4,1.9,26.7,18.9,USA,North America,37.09024,-95.712891
352,HCA Holdings,33,1.6,28.1,16.8,USA,North America,37.09024,-95.712891
353,Kimberly-Clark,21.1,1.8,19.9,36.2,USA,North America,37.09024,-95.712891
355,WPP,16.9,1.3,40.3,20.7,UK,Europe,55.378051,-3.435973
356,Michelin Group,28.3,2.1,26.4,16.2,France,Europe,46.227638,2.213749
356,Cardinal Health,104.8,1.1,24.6,15.9,USA,North America,37.09024,-95.712891
358,Thomson Reuters,13.3,2.1,32.6,26.7,Canada,North America,56.130366,-106.346771
359,Saudi Telecom,15.8,1.9,31.3,21.7,Saudi Arabia,Asia,23.885942,45.079162
360,Kraft Foods Group,18.3,1.6,23.3,29.8,USA,North America,37.09024,-95.712891
361,Delta Air Lines,36.7,1,44.6,13.6,USA,North America,37.09024,-95.712891
362,Northrop Grumman,25.2,2,26.5,16.3,USA,North America,37.09024,-95.712891
363,Fannie Mae,131.9,7.2,3226.2,2.3,USA,North America,37.09024,-95.712891
364,Illinois Tool Works,17.9,2.9,19.3,28.3,USA,North America,37.09024,-95.712891
365,General Mills,17.4,1.8,22.8,29.9,USA,North America,37.09024,-95.712891
366,SK Innovation,65.1,1.1,31.8,13.7,South Korea,Asia,35.907757,127.766922
368,Safran,18,1.7,30,19.6,France,Europe,46.227638,2.213749
369,CenturyLink,18.4,0.8,54,21.5,USA,North America,37.09024,-95.712891
370,Baoshan Iron & Steel,35.4,1.2,36.7,13.4,China,Asia,35.86166,104.195397
371,Baxter International,14.2,2.3,20.4,37.9,USA,North America,37.09024,-95.712891
372,Freddie Mac,80.6,11,1989.9,1.3,USA,North America,37.09024,-95.712891
373,AMP,17.2,0.7,122.1,16,Australia,Oceania,-25.274398,133.775136
374,Canadian National Railway,10,2.7,26.8,42.7,Canada,North America,56.130366,-106.346771
375,Baker Hughes,21.4,1.3,26.7,21.2,USA,North America,37.09024,-95.712891
376,EDP-Energias de Portugal,21.6,1.3,55.2,11.5,Portugal,Europe,39.399872,-8.224454
377,Coal India,12.3,2.9,20.8,37.4,India,Asia,20.593684,78.96288
378,Kering,12.8,1.4,32.5,29.4,France,Europe,46.227638,2.213749
379,Hyundai Heavy Industries,48.8,0.9,46.3,11.6,South Korea,Asia,35.907757,127.766922
380,CBS,14.1,1.6,26.5,29.4,USA,North America,37.09024,-95.712891
381,Viacom,13.2,2.2,21.9,31.3,USA,North America,37.09024,-95.712891
382,Akbank,8.2,1.7,91.6,20.6,Turkey,Europe,38.963745,35.243322
383,Woori Finance Holdings,15.2,1.4,306.2,9,South Korea,Asia,35.907757,127.766922
384,NTPC,12.8,1.9,30.5,22.3,India,Asia,20.593684,78.96288
385,Norilsk Nickel,12.8,3.3,18.8,32.9,Russia,Europe,61.52401,105.318756
386,Alstom,26.6,1,39.4,14,France,Europe,46.227638,2.213749
387,International Paper,27.8,0.8,32.2,20.1,USA,North America,37.09024,-95.712891
388,Sabanci Holding,14.6,1,98.3,12.7,Turkey,Europe,38.963745,35.243322
389,PPL,12.3,1.5,43.6,17.8,USA,North America,37.09024,-95.712891
390,Pernod Ricard,10.4,1.5,33.5,34.5,France,Europe,46.227638,2.213749
390,Lloyds Banking Group,75.6,-2.3,1495.9,53.8,UK,Europe,55.378051,-3.435973
392,Gilead Sciences,9.7,2.6,21.2,68.4,USA,North America,37.09024,-95.712891
393,Suncorp Group,15.6,0.7,98.3,15.9,Australia,Oceania,-25.274398,133.775136
395,Mitsubishi Estate,12.2,0.7,53.2,40.8,Japan,Asia,36.204824,138.252924
396,CSX,11.8,1.9,30.6,24.5,USA,North America,37.09024,-95.712891
397,FirstRand,8.4,1.6,94.1,18,South Africa,Africa,-30.559482,22.937506
398,PG&E,15,0.8,52.4,19.1,USA,North America,37.09024,-95.712891
399,Mapfre,27.1,0.9,69.2,10.7,Spain,Europe,40.463667,-3.74922
400,Barclays,55.7,-1.7,2422.5,62.3,UK,Europe,55.378051,-3.435973
401,Automatic Data,10.9,1.4,33.3,31.3,USA,North America,37.09024,-95.712891
402,Colgate-Palmolive,17.1,2.5,13.4,52.4,USA,North America,37.09024,-95.712891
403,Deutsche Lufthansa,39.7,1.3,37.5,9.7,Germany,Europe,51.165691,10.451526
404,Huaneng Power International,21.1,0.9,41.2,14.9,China,Asia,35.86166,104.195397
405,SK Holdings,106.3,0.9,85.2,7,South Korea,Asia,35.907757,127.766922
406,TransCanada,8,1.4,48.5,33.9,Canada,North America,56.130366,-106.346771
407,Huaxia Bank,10.5,1.5,197.2,11.5,China,Asia,35.86166,104.195397
408,Texas Instruments,12.8,1.8,20,38.8,USA,North America,37.09024,-95.712891
409,Ameriprise Financial,10.3,1,134.7,15.1,USA,North America,37.09024,-95.712891
411,QBE Insurance Group,17,0.8,50.8,17,Australia,Oceania,-25.274398,133.775136
412,EXOR,117.5,0.7,159.4,7.1,Italy,Europe,41.87194,12.56738
413,Lafarge,20.9,0.6,50.5,20.3,France,Europe,46.227638,2.213749
413,Talanx,34.9,0.8,171.7,7.9,Germany,Europe,51.165691,10.451526
415,Norfolk Southern,11,1.7,30.3,23.7,USA,North America,37.09024,-95.712891
416,Orix,11.8,1,101.2,13.5,Japan,Asia,36.204824,138.252924
417,Covidien,12,1.9,22,30.9,Ireland,Europe,53.41291,-8.24389
418,FirstEnergy,15.3,0.8,50.4,17.6,USA,North America,37.09024,-95.712891
419,Mitsui Fudosan,16.2,0.6,46.9,25.2,Japan,Asia,36.204824,138.252924
420,Royal Bank of Scotland,42.1,-9.4,2133.1,52,UK,Europe,55.378051,-3.435973
421,Macy's,27.7,1.3,21,16.2,USA,North America,37.09024,-95.712891
422,Las Vegas Sands,11.1,1.5,22.2,44.1,USA,North America,37.09024,-95.712891
423,Aeon,64.1,0.8,49.1,8.9,Japan,Asia,36.204824,138.252924
424,Ageas,20.6,1,128,8.5,Belgium,Europe,50.503887,4.469936
425,Thermo Fisher Scientific,12.5,1.2,27.4,27.6,USA,North America,37.09024,-95.712891
426,Bouygues,44.3,0.8,48.1,9.4,France,Europe,46.227638,2.213749
427,Cenovus Energy,16.9,1,24.3,24.4,Canada,North America,56.130366,-106.346771
428,Ahold,43.3,1.1,19.4,15.7,The Netherlands,Europe,52.132633,5.291266
429,CEZ Group,11.3,2.2,33.4,15.7,Czech Republic,Europe,49.817492,15.472962
430,Sampo,8.4,1.9,41.4,22.2,Finland,Europe,61.92411,25.748151
431,Hana Financial Group,12.5,1.5,263.9,8.5,South Korea,Asia,35.907757,127.766922
432,Consolidated Edison,12.2,1.1,41.2,17.3,USA,North America,37.09024,-95.712891
433,Deutsche Telekom,76.9,-6.9,136.1,48.4,Germany,Europe,51.165691,10.451526
435,Rio Tinto,51,-3,117.6,98.5,UK,Europe,55.378051,-3.435973
436,Generali Group,116.7,0.1,582.4,26,Italy,Europe,41.87194,12.56738
437,CLP Holdings,13.5,1.1,29.4,21.7,Hong Kong,Asia,22.396428,114.109497
438,Hewlett-Packard,118.7,-12.9,106.7,43.1,USA,North America,37.09024,-95.712891
439,Novo Nordisk,13.8,3.8,11.2,95,Denmark,Europe,56.26392,9.501785
440,Grupo Mexico,10.4,2.4,18.4,32.3,Mexico,North America,23.634501,-102.552784
441,Lincoln National,11.5,1.3,218.9,9.1,USA,North America,37.09024,-95.712891
442,Loews,14.6,0.6,80,17.5,USA,North America,37.09024,-95.712891
443,Morgan Stanley,32,0.1,781,46.6,USA,North America,37.09024,-95.712891
444,Fubon Financial,9.4,1,119.3,13.7,Taiwan,Asia,23.69781,120.960515
445,Macquarie Group,11.4,0.8,157.8,13.5,Australia,Oceania,-25.274398,133.775136
446,Bank Mandiri,6.3,1.6,65.5,24,Indonesia,Asia,-0.789275,113.921327
448,Rogers Communications,12.5,1.7,19.7,25.3,Canada,North America,56.130366,-106.346771
448,Newmont Mining,9.9,1.8,29.6,19.7,USA,North America,37.09024,-95.712891
450,Shin-Etsu Chemical,12.7,1.2,21.8,28.7,Japan,Asia,36.204824,138.252924
451,Merck,13.8,0.7,28.6,32,Germany,Europe,51.165691,10.451526
452,Fifth Third Bancorp,7.1,1.6,121.9,14.7,USA,North America,37.09024,-95.712891
453,Toyota Tsusho,71.5,0.8,34.4,9.2,Japan,Asia,36.204824,138.252924
454,CRH,24.6,0.7,27.6,16.7,Ireland,Europe,53.41291,-8.24389
456,Bharti Airtel,14,0.8,29.8,21.8,India,Asia,20.593684,78.96288
457,Praxair,11.2,1.7,18.1,33.6,USA,North America,37.09024,-95.712891
458,Xerox,22.4,1.2,30,10.7,USA,North America,37.09024,-95.712891
459,Intesa Sanpaolo,47.7,-10.6,813.8,26.4,Italy,Europe,41.87194,12.56738
460,Cr̩dit Agricole,51.2,-8.3,2431.4,23.4,France,Europe,46.227638,2.213749
461,Bank Rakyat Indonesia,6,1.9,57,22.4,Indonesia,Asia,-0.789275,113.921327
462,Porsche Automobil Holding,5.2,10.3,41.1,24.5,Germany,Europe,51.165691,10.451526
463,HDFC Bank,6.5,1,66.7,28.1,India,Asia,20.593684,78.96288
464,National Bank of Canada,7.1,1.6,184,12.3,Canada,North America,56.130366,-106.346771
465,Magna International,30.8,1.4,17.1,13.2,Canada,North America,56.130366,-106.346771
466,Humana,39.1,1.2,20,11.1,USA,North America,37.09024,-95.712891
467,Kirin Holdings,21.6,0.6,33.6,15.2,Japan,Asia,36.204824,138.252924
467,CIMB Group Holdings,6.3,1.4,110.2,16.8,Malaysia,Asia,4.210484,101.975766
469,Keppel Corp,11.4,1.8,23.9,17,Singapore,Asia,1.352083,103.819836
470,Lotte Shopping,22.2,1,34.6,10.3,South Korea,Asia,35.907757,127.766922
471,Compass Group,27.3,1,14.4,23.1,UK,Europe,55.378051,-3.435973
472,Paccar,17,1.1,18.6,18,USA,North America,37.09024,-95.712891
473,China Coal Energy,13.6,1.5,29.5,12.2,China,Asia,35.86166,104.195397
473,Aon,11.5,1,30.5,18.7,UK,Europe,55.378051,-3.435973
475,EnBW-Energie Baden,24.7,0.6,48.5,10.8,Germany,Europe,51.165691,10.451526
476,Kinder Morgan,10,0.4,68.5,41.2,USA,North America,37.09024,-95.712891
477,Siam Commercial Bank,6,1.3,74.2,21.5,Thailand,Asia,15.870032,100.992541
478,TJX Cos,25.9,1.9,9.5,32.8,USA,North America,37.09024,-95.712891
479,Sysco,43.4,1.1,12.4,19.8,USA,North America,37.09024,-95.712891
480,Fortum,8.1,1.9,32.3,17.6,Finland,Europe,61.92411,25.748151
481,Atlas Copco,13.4,2.1,12.5,35.2,Sweden,Europe,60.128161,18.643501
482,LG Chem,21.9,1.4,15.4,16.2,South Korea,Asia,35.907757,127.766922
483,Woodside Petroleum,6.4,3,23.9,31.9,Australia,Oceania,-25.274398,133.775136
484,Tatneft,13,2.1,19.5,14.8,Russia,Europe,61.52401,105.318756
485,ArcelorMittal,84.2,-3.7,114.6,23.1,Luxembourg,Europe,49.815273,6.129583
486,H&M,18.1,2.5,8.8,59.8,Sweden,Europe,60.128161,18.643501
487,Suzuki Motor,30.3,0.7,27.2,13.3,Japan,Asia,36.204824,138.252924
488,Bank of Beijing,6.3,1.4,151.7,13.1,China,Asia,35.86166,104.195397
489,Public Service Enterprise,9.8,1.3,31.7,16.8,USA,North America,37.09024,-95.712891
490,Mosaic,10.1,1.9,17.3,26.7,USA,North America,37.09024,-95.712891
491,GFNorte,7.7,0.8,70.6,18.5,Mexico,North America,23.634501,-102.552784
492,Kyocera,14.1,1,24,17.1,Japan,Asia,36.204824,138.252924
493,Associated British Foods,19.8,0.9,16.2,22.7,UK,Europe,55.378051,-3.435973
494,Origin Energy,13.2,1,28.7,14.9,Australia,Oceania,-25.274398,133.775136
495,Otsuka Holdings,13.9,1.1,19.9,18.6,Japan,Asia,36.204824,138.252924
496,Telus,11,1.3,20.5,22.3,Canada,North America,56.130366,-106.346771
497,Potash of Saskatchewan,7.9,2.1,18.2,35.3,Canada,North America,56.130366,-106.346771
497,Etisalat,9,1.8,21.8,21.8,United Arab Emirates,Asia,23.424076,53.847818
499,Progressive,17.1,0.9,22.7,15.2,USA,North America,37.09024,-95.712891
500,Sempra Energy,9.6,0.9,36.5,19.2,USA,North America,37.09024,-95.712891
501,Corning,8,1.7,29.4,19,USA,North America,37.09024,-95.712891
502,Reed Elsevier,9.9,1.7,17.9,25.6,UK,Europe,55.378051,-3.435973
503,Dongfeng Motor Group,19.7,1.4,19.2,11.8,China,Asia,35.86166,104.195397
503,Tokio Marine Holdings,39.4,0.1,196.4,23.5,Japan,Asia,36.204824,138.252924
505,Sandvik,15.2,1.2,16,20.5,Sweden,Europe,60.128161,18.643501
506,Sony,78.5,-5.5,160.3,17.6,Japan,Asia,36.204824,138.252924
507,Poly Real Estate,9.6,1.3,40.3,12.2,China,Asia,35.86166,104.195397
508,New China Life Insurance,18,0.5,79.2,11.8,China,Asia,35.86166,104.195397
509,Agrium,16.7,1.5,16,15.3,Canada,North America,56.130366,-106.346771
510,Cummins,17.3,1.5,12.5,22.3,USA,North America,37.09024,-95.712891
511,EOG Resources,11.7,0.6,27.3,35.4,USA,North America,37.09024,-95.712891
512,Omnicom Group,14.2,1,22.2,15.7,USA,North America,37.09024,-95.712891
513,Teck Resources,10.4,0.8,34.8,17.4,Canada,North America,56.130366,-106.346771
514,Qatar National Bank,4,2.3,100.8,25.7,Qatar,Asia,25.354826,51.183884
515,Tenaris,11.1,1.7,15.7,24.2,Luxembourg,Europe,49.815273,6.129583
516,Tenaga Nasional,11.5,1.3,28.3,12.6,Malaysia,Asia,4.210484,101.975766
517,Swire Pacific,5.7,2.3,41.5,18.8,Hong Kong,Asia,22.396428,114.109497
517,Toyota Industries,18.6,0.7,32.2,11.7,Japan,Asia,36.204824,138.252924
519,Liberty Interactive,10.1,1.5,26.3,14.6,USA,North America,37.09024,-95.712891
520,J Sainsbury,35.7,1,19.7,10.4,UK,Europe,55.378051,-3.435973
520,Aviva,69,-5.1,512.7,14.5,UK,Europe,55.378051,-3.435973
522,Anglo American,29.4,-1.5,78.1,39.9,UK,Europe,55.378051,-3.435973
523,Cheung Kong Holdings,2.5,4.1,49.4,33.7,Hong Kong,Asia,22.396428,114.109497
524,Kasikornbank,6,1.2,67.8,17.5,Thailand,Asia,15.870032,100.992541
525,Carlsberg,11.6,1,27.2,15.8,Denmark,Europe,56.26392,9.501785
525,Amazon.com,61.1,0,32.6,119,USA,North America,37.09024,-95.712891
527,Larsen & Toubro,12.6,0.9,23.8,17.2,India,Asia,20.593684,78.96288
528,Principal Financial Group,9.2,0.8,161.9,10,USA,North America,37.09024,-95.712891
529,Saudi Electricity,9,0.7,63.6,15.3,Saudi Arabia,Asia,23.885942,45.079162
529,Waste Management,13.6,0.8,23.1,17.4,USA,North America,37.09024,-95.712891
531,Murphy Oil,28.6,1,17.5,11.8,USA,North America,37.09024,-95.712891
532,CaixaBank,16.3,0.3,450.1,16.8,Spain,Europe,40.463667,-3.74922
534,Dai-ichi Life Insurance,56.5,0.2,403.2,13.4,Japan,Asia,36.204824,138.252924
535,Nomura Holdings,22.4,0.1,431.3,23.6,Japan,Asia,36.204824,138.252924
536,Vivendi,38.3,0.2,76.6,27.8,France,Europe,46.227638,2.213749
537,Fujitsu,54,0.5,35,9.2,Japan,Asia,36.204824,138.252924
538,Charles Schwab,5,0.9,133.6,22.8,USA,North America,37.09024,-95.712891
539,Al Rajhi Bank,4,2.1,71.3,26,Saudi Arabia,Asia,23.885942,45.079162
539,SSE,50.8,0.3,31.1,21.2,UK,Europe,55.378051,-3.435973
541,Ingersoll-Rand,14,1,18.5,16.4,Ireland,Europe,53.41291,-8.24389
542,Sime Darby,15,1.3,14.9,17.3,Malaysia,Asia,4.210484,101.975766
543,Halkbank,6.2,1.5,61,13.3,Turkey,Europe,38.963745,35.243322
544,Philips,32.7,0.3,35.8,27.5,The Netherlands,Europe,52.132633,5.291266
545,PPG Industries,15.2,0.9,15.9,20.2,USA,North America,37.09024,-95.712891
546,Mitsubishi Heavy Industries,34.1,0.3,48,18.8,Japan,Asia,36.204824,138.252924
547,Transneft,20.8,5.8,57.8,3.6,Russia,Europe,61.52401,105.318756
548,Korea Electric Power,43.9,-2.8,129.3,17.4,South Korea,Asia,35.907757,127.766922
549,Marsh & McLennan,11.9,1.2,16.3,20.3,USA,North America,37.09024,-95.712891
550,KT Corp,21.1,0.9,32.4,8.1,South Korea,Asia,35.907757,127.766922
551,Kellogg,14.2,1,15.2,22.5,USA,North America,37.09024,-95.712891
552,Aisin Seiki,27.8,0.7,24.7,10.6,Japan,Asia,36.204824,138.252924
553,Astellas Pharma,11.7,0.9,16.6,25.9,Japan,Asia,36.204824,138.252924
553,Entergy,10.3,0.9,43.2,11.6,USA,North America,37.09024,-95.712891
555,SK Telecom,14.5,1,24.1,11.5,South Korea,Asia,35.907757,127.766922
556,Simon Property Group,4.9,1.4,32.6,49.5,USA,North America,37.09024,-95.712891
557,Panasonic,94.8,-9.3,76.1,16.7,Japan,Asia,36.204824,138.252924
558,AmerisourceBergen,80.6,0.7,15.5,11.3,USA,North America,37.09024,-95.712891
559,Goldcorp,5.4,1.7,31.2,26.4,Canada,North America,56.130366,-106.346771
560,Xcel Energy,10.1,0.9,31.1,14.2,USA,North America,37.09024,-95.712891
561,HDFC,5.9,1.1,41.6,23.3,India,Asia,20.593684,78.96288
561,MasterCard,7.4,2.8,12.5,63.8,USA,North America,37.09024,-95.712891
563,Sumitomo Realty,8.3,0.6,46.7,18.4,Japan,Asia,36.204824,138.252924
564,Solvay,16.4,0.8,23.4,12.5,Belgium,Europe,50.503887,4.469936
565,Yara International,15.1,1.9,14.4,13.2,Norway,Europe,60.472024,8.468946
566,Sumitomo Electric,24.9,0.7,25,10,Japan,Asia,36.204824,138.252924
567,Quanta Computer,34.4,0.8,24.6,8.5,Taiwan,Asia,23.69781,120.960515
568,Regions Financial,6,1.1,121.3,11.8,USA,North America,37.09024,-95.712891
569,Falabella,11.5,0.8,17.9,26.8,Chile,South America,-35.675147,-71.542969
570,Adidas,19.6,0.7,14.7,21.8,Germany,Europe,51.165691,10.451526
570,Western Digital,15.6,2.1,13.9,12.1,USA,North America,37.09024,-95.712891
572,CIC Group,15.5,0.8,302.3,5.8,France,Europe,46.227638,2.213749
573,Cencosud,19.1,0.6,19.7,17.4,Chile,South America,-35.675147,-71.542969
574,Sanlam,10.8,0.7,52.3,10.7,South Africa,Africa,-30.559482,22.937506
575,MS&AD Insurance,42.2,-2,173.4,14.1,Japan,Asia,36.204824,138.252924
576,Veolia Environment,38.8,0.5,57.2,6.8,France,Europe,46.227638,2.213749
576,Wim Morrison Supermarkets,28.8,1,16.6,9.5,UK,Europe,55.378051,-3.435973
578,Novatek,6.9,2.3,15.1,31.3,Russia,Europe,61.52401,105.318756
578,Air Products & Chemicals,9.9,1.2,17.4,18.7,USA,North America,37.09024,-95.712891
580,PKO Bank Polski,5.7,1.2,62.3,13.8,Poland,Europe,51.919438,19.145136
581,Tokyo Gas,21.2,0.6,22.2,13.5,Japan,Asia,36.204824,138.252924
582,Precision Castparts,7.9,1.3,16.7,28.5,USA,North America,37.09024,-95.712891
583,Fujifilm Holdings,26.5,0.5,32.4,9.4,Japan,Asia,36.204824,138.252924
584,Franklin Resources,7.3,2,14.4,31.9,USA,North America,37.09024,-95.712891
585,SCA,13.1,0.7,20.2,17.3,Sweden,Europe,60.128161,18.643501
586,Telecom Italia,37.9,-2.1,102.3,15.2,Italy,Europe,41.87194,12.56738
586,Ecolab,11.8,0.7,17.6,23.5,USA,North America,37.09024,-95.712891
586,Williams Cos,7.5,0.9,24.3,24.1,USA,North America,37.09024,-95.712891
589,Dominion Resources,13.1,0.3,46.8,32.7,USA,North America,37.09024,-95.712891
590,Tata Steel,26.1,1,28.8,6.4,India,Asia,20.593684,78.96288
591,Tencent Holdings,7,2,12.1,65,China,Asia,35.86166,104.195397
592,Sodexo,22.9,0.7,15.9,14.3,France,Europe,46.227638,2.213749
593,Industrial Bank of Korea,9.3,1,185.9,6.4,South Korea,Asia,35.907757,127.766922
594,Public Bank,4.2,1.3,89.8,18,Malaysia,Asia,4.210484,101.975766
595,HeidelbergCement,18,0.4,37,13.9,Germany,Europe,51.165691,10.451526
596,Ferrovial,10.1,0.9,27.2,11.9,Spain,Europe,40.463667,-3.74922
597,Cemig,9.5,2.2,19.4,10.7,Brazil,South America,-14.235004,-51.92528
598,Yum Brands,13.6,1.6,9,31.6,USA,North America,37.09024,-95.712891
600,Thales,18.2,0.7,28.2,8.8,France,Europe,46.227638,2.213749
601,Unum Group,10.5,0.9,62.2,7.5,USA,North America,37.09024,-95.712891
602,Investor,3.5,3.7,35.3,22.9,Sweden,Europe,60.128161,18.643501
603,Annaly Capital Management,3.3,1.7,133.5,14.8,USA,North America,37.09024,-95.712891
604,Toray Industries,19.2,0.8,18.8,10.4,Japan,Asia,36.204824,138.252924
605,Starbucks,13.7,1.4,8.5,43.2,USA,North America,37.09024,-95.712891
606,Kubota,12.2,0.7,18,17.4,Japan,Asia,36.204824,138.252924
607,PTT Global Chemical,18.5,1.1,14.2,11.3,Thailand,Asia,15.870032,100.992541
608,BanColombia,5.9,1,55.4,13.5,Colombia,South America,4.570868,-74.297333
609,Sprint Nextel,35.3,-4.3,51.6,17.5,USA,North America,37.09024,-95.712891
610,Cathay Financial,9.2,0.4,165.3,14.3,Taiwan,Asia,23.69781,120.960515
611,SLM,6.1,0.9,181.3,9,USA,North America,37.09024,-95.712891
612,Samsung Fire & Marine,14.7,0.7,34.5,8.2,South Korea,Asia,35.907757,127.766922
613,Bank Central Asia,4,1.2,46,27.1,Indonesia,Asia,-0.789275,113.921327
614,Grupo P̣o de A̤̼car,24.9,0.5,16.8,14.1,Brazil,South America,-14.235004,-51.92528
615,Publicis Groupe,8.7,1,21.8,14.7,France,Europe,46.227638,2.213749
616,Kohl's,19.3,1,13.9,11.4,USA,North America,37.09024,-95.712891
616,DISH Network,14.3,0.6,17.4,15.9,USA,North America,37.09024,-95.712891
618,Chunghwa Telecom,7.4,1.4,15.2,24.3,Taiwan,Asia,23.69781,120.960515
619,T&D Holdings,24.5,0.3,155.1,8.1,Japan,Asia,36.204824,138.252924
620,Stryker,8.7,1.3,13.2,25.1,USA,North America,37.09024,-95.712891
621,Isuzu Motors,16.9,1.1,14.6,10.5,Japan,Asia,36.204824,138.252924
622,Hartford Financial Services,26.4,0,298.5,11.5,USA,North America,37.09024,-95.712891
623,Unibail-Rodamco,2.3,1.9,39,22.2,France,Europe,46.227638,2.213749
624,Yahoo,5,3.9,17.1,24.3,USA,North America,37.09024,-95.712891
625,HJ Heinz,11.6,1,11.9,23.2,USA,North America,37.09024,-95.712891
626,General Dynamics,31.5,-0.3,34.3,24.7,USA,North America,37.09024,-95.712891
627,MTR,4.6,1.7,26.7,23,Hong Kong,Asia,22.396428,114.109497
628,China National Building,13.8,0.9,31.2,7.5,China,Asia,35.86166,104.195397
628,Abertis,5.2,1.4,37.2,14.3,Spain,Europe,40.463667,-3.74922
630,Westfield Group,2.5,1.8,35.3,25.4,Australia,Oceania,-25.274398,133.775136
631,Mitsubishi Chemical,38.8,0.4,37.4,7.4,Japan,Asia,36.204824,138.252924
631,Virgin Media,6.7,4.6,17.1,24.3,USA,North America,37.09024,-95.712891
633,Siam Cement,13.3,0.8,12.8,20.3,Thailand,Asia,15.870032,100.992541
634,M&T Bank,4.6,1,83,13.4,USA,North America,37.09024,-95.712891
635,Daqin Railway,7.2,1.9,14.9,18.7,China,Asia,35.86166,104.195397
636,Tata Consultancy Services,9.6,2,8.1,56.9,India,Asia,20.593684,78.96288
637,China Resources Land,5.7,1.4,29.4,14.6,Hong Kong,Asia,22.396428,114.109497
637,Fanuc,6.5,1.7,13.7,29.7,Japan,Asia,36.204824,138.252924
639,Datang International Power,12.2,0.6,42.4,8.4,China,Asia,35.86166,104.195397
640,Bangkok Bank,4.3,1.1,79.1,15.1,Thailand,Asia,15.870032,100.992541
641,Seagate Technology,16.3,3.2,8.7,12.7,Ireland,Europe,53.41291,-8.24389
642,Ensco,6.8,1.8,18.5,14.1,UK,Europe,55.378051,-3.435973
643,Kingfisher,16.8,0.9,15.6,10.3,UK,Europe,55.378051,-3.435973
643,HollyFrontier,20.1,1.7,10.3,10.8,USA,North America,37.09024,-95.712891
645,Galp Energia,24.4,0.5,18,13.1,Portugal,Europe,39.399872,-8.224454
646,George Weston,32.8,0.5,21.9,9.1,Canada,North America,56.130366,-106.346771
647,Rostelecom,10.4,1.1,17.7,11.3,Russia,Europe,61.52401,105.318756
648,Evergrande Real Estate,10.3,1.5,31.1,6.9,China,Asia,35.86166,104.195397
649,Japan Airlines,14.6,2.3,13.2,8.7,Japan,Asia,36.204824,138.252924
650,Jiangxi Copper,25,0.8,12.5,10.8,China,Asia,35.86166,104.195397
651,PKN Orlen,38.8,0.8,16.9,7.4,Poland,Europe,51.919438,19.145136
652,Grupo Aval,6.1,0.7,57.4,13.2,Colombia,South America,4.570868,-74.297333
653,China Shipbuilding Industry,9.2,0.7,25.3,12.1,China,Asia,35.86166,104.195397
654,Commerzbank,25.5,0,838.3,9.2,Germany,Europe,51.165691,10.451526
654,ThyssenKrupp Group,51.6,-6,47.4,12.4,Germany,Europe,51.165691,10.451526
656,JBS,38.9,0.4,24.3,10.4,Brazil,South America,-14.235004,-51.92528
657,China Resources Power,8.1,1,22.9,12.4,Hong Kong,Asia,22.396428,114.109497
657,Inter Rao,18.3,1.2,16.6,7.2,Russia,Europe,61.52401,105.318756
659,Barrick Gold,14.5,-0.7,47.3,28.7,Canada,North America,56.130366,-106.346771
660,MOL Hungarian Oil,24.6,0.7,21.6,7.5,Hungary,Europe,47.162494,19.503304
661,Wheelock & Co,4.3,3.5,49.4,10,Hong Kong,Asia,22.396428,114.109497
662,Daiwa House Industry,22.3,0.4,24,11.5,Japan,Asia,36.204824,138.252924
663,Dollar General,16,1,10.4,15.8,USA,North America,37.09024,-95.712891
665,Asahi Group Holdings,13.1,0.7,20,11.1,Japan,Asia,36.204824,138.252924
666,Spectra Energy,5.1,0.9,30.6,19.3,USA,North America,37.09024,-95.712891
667,JFE Holdings,38.3,-0.4,47.4,12.6,Japan,Asia,36.204824,138.252924
668,Gree Electric Appliances,13.3,0.8,13.5,13.5,China,Asia,35.86166,104.195397
669,Ooredoo Telecom,9.3,0.8,25.9,10,Qatar,Asia,25.354826,51.183884
670,Kao Corp,15.4,0.7,12,17.4,Japan,Asia,36.204824,138.252924
671,CSN,8.9,2,24.2,7.2,Brazil,South America,-14.235004,-51.92528
